metric,value,note
registry,ruby,
target,90% of all downloads,
packages needed,1841,0.792% of the registry
downloads covered,237276101114,90.004%
packages in registry (downloads > 0),232483,
total registry downloads,263628289567,
,,
most downloaded,bundler,3670861388
least downloaded in this set,mailgun-ruby,18611622
