registry,package,downloads,latest_version,version_count,stable_version_count,first_release,latest_release,github_url,registry_url,doc_site_url,readme_file,has_readme,docs_folder_count,docs_folder_files,error
rubygems,gollum-lib,2744119.0,6.1.0,80,72,2013-03-20,2025-10-20,https://github.com/gollum/gollum-lib,https://rubygems.org/gems/gollum-lib,https://github.com/gollum/gollum-lib,README.md,Yes,1,docs/sanitization.md,
rubygems,shellwords,2741334.0,0.2.2,4,4,2020-09-18,2024-12-13,https://github.com/ruby/shellwords,https://rubygems.org/gems/shellwords,https://rubydoc.info/gems/shellwords,README.md,Yes,0,,
rubygems,message_bus,2719472.0,5.0.0,94,80,2013-05-15,2026-09-06,https://github.com/discourse/message_bus,https://rubygems.org/gems/message_bus,https://www.rubydoc.info/gems/message_bus/4.6.0,README.md,Yes,0,,
rubygems,turbo_power,2708740.0,0.8.0,16,16,2022-08-26,2026-07-13,https://github.com/marcoroth/turbo_power-rails,https://rubygems.org/gems/turbo_power,https://github.com/marcoroth/turbo_power-rails,README.md,Yes,0,,
rubygems,s3_direct_upload,2706443.0,0.1.7,15,15,2012-09-30,2014-03-13,https://github.com/waynehoover/s3_direct_upload,https://rubygems.org/gems/s3_direct_upload,https://github.com/waynehoover/s3_direct_upload,README.md,Yes,0,,
rubygems,rubydns,2703889.0,2.1.1,45,43,2010-03-12,2025-02-16,https://github.com/ioquatix/rubydns,https://rubygems.org/gems/rubydns,https://socketry.github.io/rubydns/,readme.md,Yes,0,,
rubygems,samovar,2686615.0,2.5.1,30,30,2016-04-23,2026-06-17,https://github.com/ioquatix/samovar,https://rubygems.org/gems/samovar,https://ioquatix.github.io/samovar/,readme.md,Yes,0,,
rubygems,haikunator,2685998.0,1.1.1,4,4,2015-01-18,2021-02-25,https://github.com/usmanbashir/haikunator,https://rubygems.org/gems/haikunator,https://github.com/usmanbashir/haikunator,README.md,Yes,0,,
rubygems,logging-rails,2669246.0,0.6.0,6,6,2011-09-16,2017-05-24,https://github.com/twp/logging-rails,https://rubygems.org/gems/logging-rails,https://www.rubydoc.info/gems/logging-rails/0.6.0,README.md,Yes,0,,
rubygems,capybara-select-2,2639491.0,0.5.1,16,16,2018-08-08,2020-06-26,https://github.com/hirurg103/capybara_select2,https://rubygems.org/gems/capybara-select-2,https://github.com/hirurg103/capybara_select2,README.md,Yes,0,,
rubygems,autotuner,2626593.0,1.1.0,5,5,2023-06-13,2025-10-28,https://github.com/shopify/autotuner,https://rubygems.org/gems/autotuner,https://github.com/shopify/autotuner,README.md,Yes,0,,
rubygems,bcp47_spec,2624357.0,0.2.1,2,2,2018-09-26,2018-09-26,https://github.com/dadah89/bcp47_spec,https://rubygems.org/gems/bcp47_spec,https://github.com/dadah89/bcp47_spec,Readme.md,Yes,0,,
rubygems,gemoji-parser,2607722.0,1.3.1,5,5,2015-03-19,2015-04-06,https://github.com/gmac/gemoji-parser,https://rubygems.org/gems/gemoji-parser,https://www.rubydoc.info/gems/gemoji-parser/1.3.1,README.md,Yes,0,,
rubygems,citeproc-ruby,2587388.0,2.1.8,37,37,2011-04-06,2025-12-04,https://github.com/inukshuk/citeproc-ruby,https://rubygems.org/gems/citeproc-ruby,https://www.rubydoc.info/gems/citeproc-ruby/2.1.8,README.md,Yes,0,,
rubygems,proxifier2,2544371.0,1.1.0,1,1,2023-02-28,2023-02-28,https://github.com/chef/ruby-proxifier,https://rubygems.org/gems/proxifier2,https://github.com/chef/ruby-proxifier,README.md,Yes,0,,
rubygems,train-rest,2541416.0,0.5.0,10,10,2020-05-07,2022-09-06,https://github.com/tecracer-chef/train-rest,https://rubygems.org/gems/train-rest,https://www.rubydoc.info/gems/train-rest/0.5.0,,No,0,,
rubygems,informers,2540348.0,1.3.0,14,14,2020-10-02,2026-04-15,https://github.com/ankane/informers,https://rubygems.org/gems/informers,https://www.rubydoc.info/gems/informers/1.3.0,README.md,Yes,0,,
rubygems,digest-murmurhash,2519636.0,1.1.1,9,9,2013-12-01,2016-01-05,https://github.com/ksss/digest-murmurhash,https://rubygems.org/gems/digest-murmurhash,https://github.com/ksss/digest-murmurhash,README.md,Yes,0,,
rubygems,rails-timeago,2500348.0,2.20.0,43,39,2012-02-22,2022-03-04,https://github.com/jgraichen/rails-timeago,https://rubygems.org/gems/rails-timeago,https://rubydoc.info/gems/rails-timeago,README.md,Yes,0,,
rubygems,csl,2494268.0,2.2.1,48,25,2013-04-27,2025-10-16,https://github.com/inukshuk/csl-ruby,https://rubygems.org/gems/csl,https://www.rubydoc.info/gems/csl/2.2.1,README.md,Yes,0,,
rubygems,tdiff,2483950.0,0.4.0,8,8,2010-11-14,2024-01-25,https://github.com/postmodern/tdiff,https://rubygems.org/gems/tdiff,https://www.rubydoc.info/gems/tdiff/0.4.0,README.md,Yes,0,,
rubygems,rubycas-client,2478412.0,2.3.9,24,21,2009-07-25,2012-06-20,https://github.com/rubycas/rubycas-client,https://rubygems.org/gems/rubycas-client,https://rubydoc.info/gems/rubycas-client,README.rdoc,Yes,0,,
rubygems,activerecord-jdbcmysql-adapter,2470523.0,72.1,109,100,2009-07-25,2025-09-26,https://github.com/jruby/activerecord-jdbc-adapter,https://rubygems.org/gems/activerecord-jdbcmysql-adapter,https://github.com/jruby/activerecord-jdbc-adapter/wiki,,No,0,,
rubygems,jdbc-sqlite3,2468955.0,3.46.1.1,22,21,2009-07-25,2024-10-02,https://github.com/jruby/activerecord-jdbc-adapter,https://rubygems.org/gems/jdbc-sqlite3,https://github.com/jruby/activerecord-jdbc-adapter/wiki,README.md,Yes,0,,
rubygems,yabeda-prometheus-mmap,2467743.0,0.4.0,6,6,2020-03-20,2023-12-11,https://github.com/yabeda-rb/yabeda-prometheus-mmap,https://rubygems.org/gems/yabeda-prometheus-mmap,https://github.com/yabeda-rb/yabeda-prometheus-mmap,README.md,Yes,0,,
rubygems,scimitar,2456018.0,2.15.0,49,49,2021-03-23,2026-03-05,https://github.com/pond/scimitar,https://rubygems.org/gems/scimitar,https://rubydoc.info/gems/scimitar,README.md,Yes,0,,
rubygems,nokogiri-diff,2453773.0,0.3.0,5,5,2010-11-29,2024-01-25,https://github.com/postmodern/nokogiri-diff,https://rubygems.org/gems/nokogiri-diff,https://www.rubydoc.info/gems/nokogiri-diff/0.3.0,README.md,Yes,0,,
