gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
ipaddr,1.2.9,20682826,84.5,49,58,True,README.md,2228,False,True,0,2,https://www.rubydoc.info/gems/ipaddr/1.2.9,rubydoc.info,True,https://github.com/ruby/ipaddr,,,,,https://github.com/ruby/ipaddr
naught,2.3.0,31433509,84.5,71,84,False,,0,False,True,0,1,,,False,https://github.com/avdi/naught,https://github.com/avdi/naught/blob/master/Changelog.md,,,,https://github.com/avdi/naught
openvas-omp,0.0.4,3029164,84.4,38,45,True,README.rdoc,1703,False,True,0,2,,,False,http://github.com/kost/openvas-omp,,,,,https://github.com/kost/openvas-omp
aws-sdk-mediatailor,1.127.0,79524789,84.4,54,64,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-mediatailor/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-mediatailor,,https://github.com/aws/aws-sdk-ruby
prettyprint,0.2.0,111338380,84.4,27,32,True,README.md,1478,False,True,0,2,,,False,https://github.com/ruby/prettyprint,,,,,https://github.com/ruby/prettyprint
aws-sdk-frauddetector,1.88.0,54202334,84.2,85,101,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-frauddetector/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-frauddetector,,https://github.com/aws/aws-sdk-ruby
logging,2.4.0,106206047,84.1,227,270,True,README.md,4332,True,True,0,2,http://rubydoc.info/gems/logging/frames,rubydoc.info,True,http://rubygems.org/gems/logging,,https://github.com/TwP/logging/wiki,https://github.com/TwP/logging,https://github.com/TwP/logging/issues,https://github.com/twp/logging
ovirt-engine-sdk,4.6.1,7612783,84.0,6138,7304,True,README.adoc,25830,True,True,0,3,,,False,http://ovirt.org,https://github.com/oVirt/ovirt-engine-sdk-ruby/blob/master/sdk/CHANGES.adoc,,https://github.com/oVirt/ovirt-engine-sdk-ruby/,https://github.com/oVirt/ovirt-engine-sdk-ruby/issues,https://github.com/ovirt/ovirt-engine-sdk-ruby
aws-sdk-vpclattice,1.53.0,16523267,83.9,99,118,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-vpclattice/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-vpclattice,,https://github.com/aws/aws-sdk-ruby
aws-sdk-lexmodelsv2,1.95.0,41104443,83.9,130,155,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-lexmodelsv2/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-lexmodelsv2,,https://github.com/aws/aws-sdk-ruby
