gem,version,downloads,best_doc_url,doc_source,doc_coverage_pct,methods_documented,methods_total,has_readme,doc_dir_files,link_docs,docs_host,doc_is_autogen,gh_docs_dir,gh_site_config,gh_has_wiki,gh_has_pages,gh_homepage,link_home,link_changelog,link_wiki,github_url
skylight,7.1.1,13042046,http://docs.skylight.io/,rubygems:custom_doc_site,30.1,350.0,1162.0,True,0,http://docs.skylight.io/,docs.skylight.io,False,,,,,,https://www.skylight.io,,,https://github.com/skylightio/skylight-ruby
shopify_api,16.3.0,12957470,http://api.shopify.com/,rubygems:custom_doc_site,0.0,0.0,6087.0,True,8,http://api.shopify.com/,api.shopify.com,False,,,,,,https://shopify.dev/docs/apps,,http://wiki.shopify.com/Shopify_App_Development,https://github.com/shopify/shopify_api
cloud_events,0.9.0,12813144,https://cloudevents.github.io/sdk-ruby/v0.9.0,rubygems:custom_doc_site,58.8,67.0,114.0,True,0,https://cloudevents.github.io/sdk-ruby/v0.9.0,cloudevents.github.io,False,,,,,,https://github.com/cloudevents/sdk-ruby,https://cloudevents.github.io/sdk-ruby/v0.9.0/file.CHANGELOG.html,,https://github.com/cloudevents/sdk-ruby
google-cloud-logging,2.7.0,12766569,http://googlecloudplatform.github.io/google-cloud-ruby/#/docs/google-cloud-logging/latest,rubygems:custom_doc_site,81.0,196.0,242.0,False,0,http://googlecloudplatform.github.io/google-cloud-ruby/#/docs/google-cloud-logging/latest,googlecloudplatform.github.io,False,,,,,,https://github.com/googleapis/google-cloud-ruby/tree/master/google-cloud-logging,,,https://github.com/googleapis/google-cloud-ruby
httpx,1.8.3,11476573,https://honeyryderchuck.gitlab.io/httpx/rdoc/,rubygems:custom_doc_site,17.9,249.0,1392.0,True,141,https://honeyryderchuck.gitlab.io/httpx/rdoc/,honeyryderchuck.gitlab.io,False,,,,,,https://honeyryderchuck.gitlab.io/httpx/,https://honeyryderchuck.gitlab.io/httpx/#release-notes,,
cassandra-driver,3.2.5,11470506,http://docs.datastax.com/en/developer/ruby-driver,rubygems:custom_doc_site,34.8,446.0,1283.0,True,0,http://docs.datastax.com/en/developer/ruby-driver,docs.datastax.com,False,,,,,,http://datastax.github.io/ruby-driver,,,https://github.com/datastax/ruby-driver
wannabe_bool,0.7.1,11404624,https://github.com/prodis/wannabe_bool/blob/master/README.rdoc,rubygems:custom_doc_site,0.0,0.0,14.0,True,0,https://github.com/prodis/wannabe_bool/blob/master/README.rdoc,github.com,False,,,,,,https://github.com/prodis/wannabe_bool,,,https://github.com/prodis/wannabe_bool
guard-bundler,3.1.0,11090860,https://github.com/guard/guard-bundler#readme,rubygems:custom_doc_site,6.2,1.0,16.0,True,0,https://github.com/guard/guard-bundler#readme,github.com,False,,,,,,https://rubygems.org/gems/guard-bundler,,,https://github.com/guard/guard-bundler
rails-settings-cached,2.9.6,10977838,http://huacnlee.com/rails-settings-cached/,rubygems:custom_doc_site,3.1,2.0,64.0,True,0,http://huacnlee.com/rails-settings-cached/,huacnlee.com,False,,,,,,https://github.com/huacnlee/rails-settings-cached,,,https://github.com/huacnlee/rails-settings-cached
karafka-testing,2.6.2,9896476,https://karafka.io/docs,rubygems:custom_doc_site,82.5,33.0,40.0,True,0,https://karafka.io/docs,karafka.io,False,,,,,,https://karafka.io,https://karafka.io/docs/Changelog-Karafka-Testing,,https://github.com/karafka/karafka-testing
cuprite,0.18,9760835,https://github.com/rubycdp/cuprite/blob/main/README.md,rubygems:custom_doc_site,1.6,3.0,185.0,True,0,https://github.com/rubycdp/cuprite/blob/main/README.md,github.com,False,,,,,,https://cuprite.rubycdp.com/,,,https://github.com/rubycdp/cuprite
hoe,4.7.1,9512605,https://docs.seattlerb.org/hoe/,rubygems:custom_doc_site,4.4,5.0,113.0,True,0,https://docs.seattlerb.org/hoe/,docs.seattlerb.org,False,,,,,,https://zenspider.com/projects/hoe.html,https://github.com/seattlerb/hoe/blob/master/History.rdoc,,https://github.com/seattlerb/hoe
logstash-input-http,4.2.1,9481836,https://github.com/logstash-plugins/logstash-input-http/blob/master/README.md,rubygems:custom_doc_site,,,,False,0,https://github.com/logstash-plugins/logstash-input-http/blob/master/README.md,github.com,False,,,,,,http://www.elastic.co/guide/en/logstash/current/index.html,,,https://github.com/logstash-plugins/logstash-input-http
RubyInline,3.14.4,9384186,https://docs.seattlerb.org/RubyInline/,rubygems:custom_doc_site,0.0,0.0,44.0,True,0,https://docs.seattlerb.org/RubyInline/,docs.seattlerb.org,False,,,,,,https://zenspider.com/projects/rubyinline.html,,,https://github.com/seattlerb/rubyinline
dragonfly,1.4.2,9292928,http://markevans.github.com/dragonfly/,rubygems:custom_doc_site,6.1,24.0,394.0,True,0,http://markevans.github.com/dragonfly/,markevans.github.com,False,,,,,,http://github.com/markevans/dragonfly,,,https://github.com/markevans/dragonfly
administrate,1.0.0,9159876,https://administrate-docs.herokuapp.com/,rubygems:custom_doc_site,0.8,3.0,355.0,False,17,https://administrate-docs.herokuapp.com/,administrate-docs.herokuapp.com,False,,,,,,https://administrate-demo.herokuapp.com/,,,https://github.com/thoughtbot/administrate
activerecord-compatible_legacy_migration,0.1.4,9117203,https://sue445.github.io/activerecord-compatible_legacy_migration/,rubygems:custom_doc_site,0.0,0.0,3.0,True,0,https://sue445.github.io/activerecord-compatible_legacy_migration/,sue445.github.io,False,,,,,,https://github.com/sue445/activerecord-compatible_legacy_migration,https://github.com/sue445/activerecord-compatible_legacy_migration/blob/master/CHANGELOG.md,,https://github.com/sue445/activerecord-compatible_legacy_migration
airborne,0.3.7,9017083,https://github.com/brooklynDev/airborne/blob/master/README.md,rubygems:custom_doc_site,0.0,0.0,66.0,True,0,https://github.com/brooklynDev/airborne/blob/master/README.md,github.com,False,,,,,,,,,https://github.com/brooklyndev/airborne
sidekiq_alive,2.5.0,8817069,https://github.com/arturictus/sidekiq_alive/blob/v2.5.0/README.md,rubygems:custom_doc_site,3.2,3.0,93.0,True,0,https://github.com/arturictus/sidekiq_alive/blob/v2.5.0/README.md,github.com,False,,,,,,https://github.com/arturictus/sidekiq_alive,https://github.com/arturictus/sidekiq_alive/releases,,https://github.com/arturictus/sidekiq_alive
github-pages,232,8702131,http://pages.github.com,rubygems:custom_doc_site,58.8,10.0,17.0,False,0,http://pages.github.com,pages.github.com,False,,,,,,https://github.com/github/pages-gem,,,https://github.com/github/pages-gem
rack-ssl-enforcer,0.2.9,8662751,https://github.com/tobmatth/rack-ssl-enforcer#readme,rubygems:custom_doc_site,16.0,4.0,25.0,True,0,https://github.com/tobmatth/rack-ssl-enforcer#readme,github.com,False,,,,,,http://github.com/tobmatth/rack-ssl-enforcer,,,https://github.com/tobmatth/rack-ssl-enforcer
azure_mgmt_resources,0.18.2,8622340,https://azure.microsoft.com/en-us/develop/ruby/,rubygems:custom_doc_site,94.1,4078.0,4334.0,True,0,https://azure.microsoft.com/en-us/develop/ruby/,azure.microsoft.com,False,,,,,,https://aka.ms/azure-sdk-for-ruby,https://github.com/Azure/azure-sdk-for-ruby/blob/master/ChangeLog.md,,https://github.com/azure/azure-sdk-for-ruby
roar,1.2.0,8465021,http://trailblazer.to/gems/roar/,rubygems:custom_doc_site,15.2,12.0,79.0,True,0,http://trailblazer.to/gems/roar/,trailblazer.to,False,,,,,,http://trailblazer.to/gems/roar,,,https://github.com/trailblazer/roar
railroady,1.6.0,8366951,http://railroady.prestonlee.com,rubygems:custom_doc_site,50.0,26.0,52.0,True,0,http://railroady.prestonlee.com,railroady.prestonlee.com,False,,,,,,http://github.com/preston/railroady,,,https://github.com/preston/railroady
progressbar,1.13.0,8293965,https://github.com/jfelchner/ruby-progressbar/tree/releases/v1.13.0,rubygems:custom_doc_site,1.2,2.0,161.0,True,0,https://github.com/jfelchner/ruby-progressbar/tree/releases/v1.13.0,github.com,False,,,,,,https://github.com/jfelchner/ruby-progressbar,https://github.com/jfelchner/ruby-progressbar/blob/master/CHANGELOG.md,https://github.com/jfelchner/ruby-progressbar/wiki,https://github.com/peleteiro/progressbar
async-websocket,0.30.1,8233525,https://socketry.github.io/async-websocket/,rubygems:custom_doc_site,6.0,3.0,50.0,True,0,https://socketry.github.io/async-websocket/,socketry.github.io,False,,,,,,https://github.com/socketry/async-websocket,,,https://github.com/socketry/async-websocket
cells,4.1.8,8228051,https://trailblazer.to/2.1/docs/cells,rubygems:custom_doc_site,12.4,12.0,97.0,True,0,https://trailblazer.to/2.1/docs/cells,trailblazer.to,False,,,,,,https://github.com/trailblazer/cells,https://github.com/trailblazer/cells/blob/HEAD/CHANGES.md,https://github.com/trailblazer/cells/wiki,https://github.com/apotonick/cells
google-apis-calendar_v3,0.57.0,8152264,https://googleapis.dev/ruby/google-apis-calendar_v3/v0.57.0,rubygems:custom_doc_site,63.0,87.0,138.0,False,0,https://googleapis.dev/ruby/google-apis-calendar_v3/v0.57.0,googleapis.dev,False,,,,,,https://github.com/google/google-api-ruby-client,https://github.com/googleapis/google-api-ruby-client/tree/main/generated/google-apis-calendar_v3/CHANGELOG.md,,https://github.com/googleapis/google-api-ruby-client
file-tail,1.4.0,8115376,http://flori.github.com/file-tail/doc/index.html,rubygems:custom_doc_site,34.5,19.0,55.0,True,0,http://flori.github.com/file-tail/doc/index.html,flori.github.com,False,,,,,,http://github.com/flori/file-tail,,,https://github.com/flori/file-tail
rufo,0.18.2,8054511,https://github.com/ruby-formatter/rufo/,rubygems:custom_doc_site,6.4,15.0,236.0,True,3,https://github.com/ruby-formatter/rufo/,github.com,False,,,,,,https://github.com/ruby-formatter/rufo,,https://github.com/ruby-formatter/rufo/wiki/Settings,https://github.com/ruby-formatter/rufo
