gem,version,downloads,best_doc_url,doc_source,doc_coverage_pct,methods_documented,methods_total,has_readme,doc_dir_files,link_docs,docs_host,doc_is_autogen,gh_docs_dir,gh_site_config,gh_has_wiki,gh_has_pages,gh_homepage,link_home,link_changelog,link_wiki,github_url
hashie-forbidden_attributes,0.1.1,18721084,https://github.com/maxim-filimonov/hashie-forbidden_attributes/wiki,github:wiki,0.0,0.0,2.0,False,0,https://www.rubydoc.info/gems/hashie-forbidden_attributes/0.1.1,rubydoc.info,True,,,True,False,,https://github.com/Maxim-Filimonov/hashie-forbidden_attributes,,,https://github.com/maxim-filimonov/hashie-forbidden_attributes
dependabot-github_actions,0.395.0,18434517,https://docs.github.com/en/code-security/dependabot,github:homepage,0.0,0.0,287.0,False,0,,,False,,,False,False,https://docs.github.com/en/code-security/dependabot,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,https://github.com/dependabot/dependabot-core
to_bool,2.1.0,18100967,https://rubygems.org/gems/to_bool,github:homepage,0.0,0.0,5.0,False,0,https://www.rubydoc.info/gems/to_bool/2.1.0,rubydoc.info,True,,,False,False,https://rubygems.org/gems/to_bool,http://github.com/bricker/to_bool,,,https://github.com/bricker/to_bool
carrierwave-aws,1.6.1,18077318,https://github.com/sorentwo/carrierwave-aws/wiki,github:wiki,0.0,0.0,46.0,False,0,https://www.rubydoc.info/gems/carrierwave-aws/1.6.1,rubydoc.info,True,,,True,False,,https://github.com/sorentwo/carrierwave-aws,,,https://github.com/sorentwo/carrierwave-aws
dpl-script,1.10.16,17430035,https://github.com/travis-ci/dpl/wiki,github:wiki,0.0,0.0,6.0,False,0,https://www.rubydoc.info/gems/dpl-script/1.10.16,rubydoc.info,True,,,True,False,,https://github.com/travis-ci/dpl,,,https://github.com/travis-ci/dpl
rswag,2.17.0,17152765,https://github.com/rswag/rswag/wiki,github:wiki,0.0,0.0,1.0,False,0,https://www.rubydoc.info/gems/rswag/2.17.0,rubydoc.info,True,,,True,False,,https://github.com/rswag/rswag,,,https://github.com/rswag/rswag
dependabot-pub,0.395.0,17118141,https://docs.github.com/en/code-security/dependabot,github:homepage,0.0,0.0,95.0,False,0,,,False,,,False,False,https://docs.github.com/en/code-security/dependabot,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,https://github.com/dependabot/dependabot-core
dependabot-swift,0.395.0,16451338,https://docs.github.com/en/code-security/dependabot,github:homepage,0.0,0.0,217.0,False,0,,,False,,,False,False,https://docs.github.com/en/code-security/dependabot,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,https://github.com/dependabot/dependabot-core
dependabot-devcontainers,0.395.0,16342899,https://docs.github.com/en/code-security/dependabot,github:homepage,0.0,0.0,79.0,False,0,,,False,,,False,False,https://docs.github.com/en/code-security/dependabot,https://github.com/dependabot/dependabot-core,https://github.com/dependabot/dependabot-core/releases/tag/v0.393.0,,https://github.com/dependabot/dependabot-core
descriptive_statistics,2.5.1,15049215,https://github.com/thirtysixthspan/descriptive_statistics/wiki,github:wiki,0.0,0.0,21.0,False,0,https://www.rubydoc.info/gems/descriptive_statistics/2.5.1,rubydoc.info,True,,,True,False,,https://github.com/thirtysixthspan/descriptive_statistics,,,https://github.com/thirtysixthspan/descriptive_statistics
