package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct
omniauth-saml,2.2.5,65429417,hand-written site; tool-generated; readme; github wiki; homepage,4,https://github.com/omniauth/omniauth-saml/blob/master/README.md,https://rubydoc.info/gems/omniauth-saml,README.md,,,,https://github.com/omniauth/omniauth-saml,,https://github.com/omniauth/omniauth-saml/wiki,,https://github.com/omniauth/omniauth-saml,,https://rubygems.org/gems/omniauth-saml,7.7
thrift,0.24.0,65402518,hand-written site; tool-generated; readme; github wiki; homepage,5,https://thrift.apache.org/docs/,https://rubydoc.info/gems/thrift,README.md,,,,https://github.com/apache/thrift,,https://github.com/apache/thrift/wiki,,https://thrift.apache.org,https://github.com/apache/thrift/blob/master/CHANGES.md,https://rubygems.org/gems/thrift,12.7
locale,2.1.5,65261186,tool-generated; readme; docs folder; github wiki; homepage,3,,https://www.rubydoc.info/gems/locale/2.1.5,README.rdoc,Yes,doc/text/news.md,,https://github.com/ruby-gettext/locale,,https://github.com/ruby-gettext/locale/wiki,,https://github.com/ruby-gettext/locale,,https://rubygems.org/gems/locale,66.1
aws-sdk-eventbridge,1.102.0,65224671,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-eventbridge,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-eventbridge/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-eventbridge,72.9
sys-filesystem,1.6.0,64748449,hand-written site; tool-generated; readme; github wiki; homepage,5,https://github.com/djberg96/sys-filesystem/wiki,https://rubydoc.info/gems/sys-filesystem,README.md,,,,https://github.com/djberg96/sys-filesystem,,https://github.com/djberg96/sys-filesystem/wiki,,https://github.com/djberg96/sys-filesystem,https://github.com/djberg96/sys-filesystem/blob/main/CHANGES.md,https://rubygems.org/gems/sys-filesystem,60.9
gon,7.1.0,64743555,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/gon/7.1.0,README.md,,,,https://github.com/gazay/gon,,https://github.com/gazay/gon/wiki,,https://github.com/gazay/gon,,https://rubygems.org/gems/gon,2.2
semantic_range,3.1.1,64697008,hand-written site; tool-generated; readme; github wiki; homepage,4,https://libraries.io/github/librariesio/semantic_range,https://www.rubydoc.info/gems/semantic_range/3.1.1,README.md,,,,https://github.com/librariesio/semantic_range,,https://github.com/librariesio/semantic_range/wiki,,https://libraries.io/github/librariesio/semantic_range,,https://rubygems.org/gems/semantic_range,0.0
trollop,2.9.10,64619327,hand-written site; tool-generated; readme; github wiki; homepage,5,http://manageiq.github.io/optimist/,https://rubydoc.info/gems/trollop,README.md,,,,https://github.com/manageiq/optimist,,https://github.com/manageiq/optimist/wiki,,http://manageiq.github.io/optimist/,https://github.com/ManageIQ/optimist/blob/master/History.txt,https://rubygems.org/gems/trollop,34.7
terser,1.2.8,64439997,tool-generated; readme; github wiki; homepage,4,,https://rubydoc.info/gems/terser,README.md,,,,https://github.com/ahorek/terser-ruby,,https://github.com/ahorek/terser-ruby/wiki,,http://github.com/ahorek/terser-ruby,http://github.com/ahorek/terser-ruby/blob/master/CHANGELOG.md,https://rubygems.org/gems/terser,15.9
aws-sdk-transcribestreamingservice,1.105.0,64377207,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-transcribestreamingservice,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-transcribestreamingservice/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-transcribestreamingservice,24.7
jira-ruby,3.2.2,64141395,hand-written site; tool-generated; readme; github wiki; homepage,4,http://www.sumoheavy.com,https://rubydoc.info/gems/jira-ruby,README.md,,,,https://github.com/sumoheavy/jira-ruby,,https://github.com/sumoheavy/jira-ruby/wiki,,http://www.sumoheavy.com,,https://rubygems.org/gems/jira-ruby,34.5
font-awesome-rails,4.7.0.1,63741607,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/font-awesome-rails/4.7.0.9,README.md,,,,https://github.com/bokmann/font-awesome-rails,,https://github.com/bokmann/font-awesome-rails/wiki,,https://github.com/bokmann/font-awesome-rails,,https://rubygems.org/gems/font-awesome-rails,20.0
fluentd,1.19.3,63672749,hand-written site; tool-generated; readme; docs folder; github wiki; homepage,5,https://www.fluentd.org/,https://rubydoc.info/gems/fluentd,README.md,Yes,docs/SECURITY_AUDIT.pdf,,https://github.com/fluent/fluentd,,https://github.com/fluent/fluentd/wiki,,https://www.fluentd.org/,https://github.com/fluent/fluentd/blob/master/CHANGELOG.md,https://rubygems.org/gems/fluentd,5.0
with_env,1.1.0,63409837,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/with_env/1.1.0,README.md,,,,https://github.com/mhs/with_env-rb,,https://github.com/mhs/with_env-rb/wiki,,https://github.com/mhs/with_env-rb,,https://rubygems.org/gems/with_env,0.0
fast_blank,1.0.1,63144701,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/fast_blank/1.0.1,README.md,,,,https://github.com/samsaffron/fast_blank,,https://github.com/samsaffron/fast_blank/wiki,,https://github.com/SamSaffron/fast_blank,,https://rubygems.org/gems/fast_blank,
formtastic,6.0.0,63099112,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/formtastic/6.0.0,README.md,,,,https://github.com/justinfrench/formtastic,,https://github.com/justinfrench/formtastic/wiki,,http://github.com/formtastic/formtastic,,https://rubygems.org/gems/formtastic,12.0
logstash-output-statsd,3.2.0,63052402,hand-written site; tool-generated; readme; docs folder; homepage,3,http://www.elastic.co/guide/en/logstash/current/index.html,https://www.rubydoc.info/gems/logstash-output-statsd/3.2.0,README.md,Yes,docs/index.asciidoc,,,,,,http://www.elastic.co/guide/en/logstash/current/index.html,,https://rubygems.org/gems/logstash-output-statsd,0.0
graphiql-rails,1.10.5,63029674,tool-generated; github wiki; homepage,3,,https://www.rubydoc.info/gems/graphiql-rails/1.10.5,,,,,https://github.com/rmosolgo/graphiql-rails,,https://github.com/rmosolgo/graphiql-rails/wiki,,http://github.com/rmosolgo/graphiql-rails,,https://rubygems.org/gems/graphiql-rails,25.0
