link_type,total_links,share_of_all_links_pct,ok,redirected,blocked,not_found,unreachable,working,dead,working_pct,dead_pct
homepage,1978.0,36.4,1937.0,7.0,0.0,24.0,10.0,1944.0,34.0,98.3,1.7
best_doc_url,1764.0,32.4,1587.0,0.0,0.0,33.0,134.0,1587.0,167.0,90.0,9.5
github_wiki,1206.0,22.2,1204.0,0.0,0.0,0.0,2.0,1204.0,2.0,99.8,0.2
handwritten_site,480.0,8.8,332.0,45.0,2.0,75.0,22.0,377.0,97.0,78.5,20.2
github_docs_folder,8.0,0.1,8.0,0.0,0.0,0.0,0.0,8.0,0.0,100.0,0.0
github_pages,5.0,0.1,4.0,1.0,0.0,0.0,0.0,5.0,0.0,100.0,0.0
ALL LINK TYPES,5441.0,100.0,5072.0,53.0,2.0,132.0,168.0,5125.0,300.0,94.2,5.5
