package,version,documentation,doc_coverage_pct,obtainable_by_download,download_url,size_kb
acts_as_tree,2.9.1,in the package,48.3,Yes,https://rubygems.org/downloads/acts_as_tree-2.9.1.gem,14.5
adamantium,0.2.0,in the package,68.4,Yes,https://rubygems.org/downloads/adamantium-0.2.0.gem,16.5
addressable,2.9.0,in the package,88.1,Yes,https://rubygems.org/downloads/addressable-2.9.0.gem,76.5
administrate,1.0.0,in the package,0.8,Yes,https://rubygems.org/downloads/administrate-1.0.0.gem,962.5
administrate-field-active_storage,1.0.6,in the package,6.1,Yes,https://rubygems.org/downloads/administrate-field-active_storage-1.0.6.gem,242.0
administrate-field-belongs_to_search,0.10.0,in the package,0.0,Yes,https://rubygems.org/downloads/administrate-field-belongs_to_search-0.10.0.gem,11.5
adobe_connect,1.0.12,in the package,56.2,Yes,https://rubygems.org/downloads/adobe_connect-1.0.12.gem,21.5
aes_key_wrap,1.1.0,in the package,40.0,Yes,https://rubygems.org/downloads/aes_key_wrap-1.1.0.gem,8.5
afm,1.0.0,in the package,100.0,Yes,https://rubygems.org/downloads/afm-1.0.0.gem,17.0
after_commit_everywhere,1.6.0,in the package,50.0,Yes,https://rubygems.org/downloads/after_commit_everywhere-1.6.0.gem,12.5
after_transaction_commit,2.2.2,in the package,0.0,Yes,https://rubygems.org/downloads/after_transaction_commit-2.2.2.gem,8.0
ahoy_email,4.0.0,in the package,9.0,Yes,https://rubygems.org/downloads/ahoy_email-4.0.0.gem,16.5
ahoy_matey,5.5.0,in the package,6.5,Yes,https://rubygems.org/downloads/ahoy_matey-5.5.0.gem,29.0
ai-agents,0.12.0,in the package,33.0,Yes,https://rubygems.org/downloads/ai-agents-0.12.0.gem,521.5
airbrake,13.0.5,in the package,26.1,Yes,https://rubygems.org/downloads/airbrake-13.0.5.gem,24.5
airbrake-ruby,6.2.2,in the package,50.3,Yes,https://rubygems.org/downloads/airbrake-ruby-6.2.2.gem,42.0
airbrussh,1.6.2,in the package,22.4,Yes,https://rubygems.org/downloads/airbrussh-1.6.2.gem,15.0
akami,1.3.3,in the package,46.9,Yes,https://rubygems.org/downloads/akami-1.3.3.gem,11.5
akismet,3.0.0,in the package,96.0,Yes,https://rubygems.org/downloads/akismet-3.0.0.gem,10.0
alba,4.0.0,in the package,54.5,Yes,https://rubygems.org/downloads/alba-4.0.0.gem,36.5
algolia,3.43.0,in the package,89.7,Yes,https://rubygems.org/downloads/algolia-3.43.0.gem,517.5
algoliasearch,1.27.5,in the package,61.6,Yes,https://rubygems.org/downloads/algoliasearch-1.27.5.gem,219.5
algoliasearch-rails,3.0.4,in the package,1.1,Yes,https://rubygems.org/downloads/algoliasearch-rails-3.0.4.gem,420.0
aliyun-sdk,0.8.0,in the package,52.0,Yes,https://rubygems.org/downloads/aliyun-sdk-0.8.0.gem,79.0
allocation_stats,0.1.5,in the package,62.5,Yes,https://rubygems.org/downloads/allocation_stats-0.1.5.gem,27.0
allure-rspec,2.29.1,in the package,86.0,Yes,https://rubygems.org/downloads/allure-rspec-2.29.1.gem,9.5
allure-ruby-commons,2.29.1,in the package,73.8,Yes,https://rubygems.org/downloads/allure-ruby-commons-2.29.1.gem,15.0
alterity,1.4.2,in the package,16.7,Yes,https://rubygems.org/downloads/alterity-1.4.2.gem,9.5
amatch,0.7.0,in the package,0.0,Yes,https://rubygems.org/downloads/amatch-0.7.0.gem,40.5
amazing_print,2.0.0,in the package,27.7,Yes,https://rubygems.org/downloads/amazing_print-2.0.0.gem,26.0
amq-protocol,2.9.0,in the package,40.6,Yes,https://rubygems.org/downloads/amq-protocol-2.9.0.gem,26.0
amqp,1.8.0,in the package,69.1,Yes,https://rubygems.org/downloads/amqp-1.8.0.gem,1147.5
analytics-ruby,2.5.0,in the package,41.7,Yes,https://rubygems.org/downloads/analytics-ruby-2.5.0.gem,12.5
ancestry,5.1.0,in the package,22.6,Yes,https://rubygems.org/downloads/ancestry-5.1.0.gem,28.0
android_key_attestation,0.3.0,in the package,0.0,Yes,https://rubygems.org/downloads/android_key_attestation-0.3.0.gem,14.0
angularjs-rails,1.8.0,in the package,,Yes,https://rubygems.org/downloads/angularjs-rails-1.8.0.gem,663.5
annotate,3.2.0,in the package,16.2,Yes,https://rubygems.org/downloads/annotate-3.2.0.gem,36.0
annotaterb,4.24.0,in the package,11.4,Yes,https://rubygems.org/downloads/annotaterb-4.24.0.gem,62.0
anonymous_loader,0.1.3,in the package,7.4,Yes,https://rubygems.org/downloads/anonymous_loader-0.1.3.gem,35.0
