registry,link_type,url,status,final_url,note
ruby,handwritten_site,http://googlecloudplatform.github.io/google-cloud-ruby/#/docs/google-cloud-storage/latest,not_found,http://googlecloudplatform.github.io/google-cloud-ruby/#/docs/google-cloud-storage/latest,HTTP 404
ruby,handwritten_site,https://ruby.github.io/irb/,ok,https://ruby.github.io/irb/,
ruby,handwritten_site,https://yardoc.org,ok,https://yardoc.org,
ruby,handwritten_site,https://brakemanscanner.org/docs/,ok,https://brakemanscanner.org/docs/,
ruby,handwritten_site,https://dry-rb.org/gems/dry-inflector,redirected,https://hanakai.org/learn/dry/dry-inflector/v1.2,now on hanakai.org
ruby,handwritten_site,https://dry-rb.org/gems/dry-types,redirected,https://hanakai.org/learn/dry/dry-types/v1.8,now on hanakai.org
ruby,handwritten_site,https://dry-rb.org/gems/dry-logic,redirected,https://hanakai.org/learn/dry/dry-logic/v1.6,now on hanakai.org
ruby,handwritten_site,https://www.elastic.co/guide/en/elasticsearch/client/ruby-api/current/index.html,ok,https://www.elastic.co/docs/reference/elasticsearch/clients/ruby,
ruby,handwritten_site,https://rubygems.org/gems/plist,ok,https://rubygems.org/gems/plist,
ruby,handwritten_site,https://docs.fastlane.tools/,ok,https://docs.fastlane.tools/,
ruby,handwritten_site,https://haml.info/,ok,https://haml.info/,
ruby,handwritten_site,https://googleapis.dev/ruby/google-apis-storage_v1/v0.66.0,not_found,https://googleapis.dev/ruby/google-apis-storage_v1/v0.66.0,HTTP 404
ruby,handwritten_site,https://graphql-ruby.org,ok,https://graphql-ruby.org,
ruby,handwritten_site,https://googleapis.dev/ruby/google-apis-iamcredentials_v1/v0.28.0,not_found,https://googleapis.dev/ruby/google-apis-iamcredentials_v1/v0.28.0,HTTP 404
ruby,handwritten_site,https://sparklemotion.github.io/sqlite3-ruby/,ok,https://sparklemotion.github.io/sqlite3-ruby/,
ruby,handwritten_site,https://dry-rb.org/gems/dry-configurable,redirected,https://hanakai.org/learn/dry/dry-configurable/v1.4,now on hanakai.org
ruby,handwritten_site,https://docs.newrelic.com/docs/agents/ruby-agent,ok,https://docs.newrelic.com/docs/apm/agents/ruby-agent/getting-started/introduction-new-relic-ruby/,
ruby,handwritten_site,https://googleapis.dev/ruby/google-api-client/v0.53.0,ok,https://googleapis.dev/ruby/google-api-client/v0.53.0/,
ruby,handwritten_site,http://net-ssh.github.com/net-sftp,unreachable,http://net-ssh.github.com/net-sftp,domain does not resolve
ruby,handwritten_site,https://www.elastic.co/guide/en/elasticsearch/client/ruby-api/7.16/index.html,ok,https://www.elastic.co/guide/en/elasticsearch/client/ruby-api/7.16/index.html,
ruby,handwritten_site,https://celluloid.io/,ok,https://celluloid.io/,
ruby,handwritten_site,https://oauth.galtzo.com,ok,https://oauth.galtzo.com,
ruby,handwritten_site,https://github.com/grosser/parallel_tests/blob/v5.7.0/Readme.md,ok,https://github.com/grosser/parallel_tests/blob/v5.7.0/Readme.md,
ruby,handwritten_site,https://benoittgt.github.io/vcr,ok,https://benoittgt.github.io/vcr/,
ruby,handwritten_site,https://prwnpdf.org/docs/ttfunk/1.8.0/,unreachable,https://prwnpdf.org/docs/ttfunk/1.8.0/,domain does not resolve
ruby,handwritten_site,https://guard.github.io/guard/,ok,https://guard.github.io/guard/,
ruby,handwritten_site,https://googleapis.dev/ruby/google-apis-androidpublisher_v3/v0.107.0,not_found,https://googleapis.dev/ruby/google-apis-androidpublisher_v3/v0.107.0,HTTP 404
ruby,handwritten_site,https://sorbet.org,ok,https://sorbet.org,
ruby,handwritten_site,https://version-gem.galtzo.com,ok,https://version-gem.galtzo.com,
ruby,handwritten_site,https://shopify.github.io/liquid/,ok,https://shopify.github.io/liquid/,
ruby,handwritten_site,https://dry-rb.org/gems/dry-container,redirected,https://hanakai.org/learn/dry/dry-container/v0.11,now on hanakai.org
ruby,handwritten_site,http://redis-store.org/redis-store,ok,http://redis-store.org/redis-store/,
ruby,handwritten_site,http://manageiq.github.io/optimist/,redirected,https://www.manageiq.org/optimist/,now on www.manageiq.org
ruby,handwritten_site,https://dry-rb.org/gems/dry-initializer,redirected,https://hanakai.org/learn/dry/dry-initializer/v3.2,now on hanakai.org
ruby,handwritten_site,https://www.twilio.com/docs/libraries/reference/twilio-ruby/,ok,https://www.twilio.com/docs/libraries/reference/twilio-ruby/,
ruby,handwritten_site,https://rubymoney.github.io/money,ok,https://rubymoney.github.io/money/,
