gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
mina,1.2.5,3092719,1.4,1.0,73.0,True,Readme.md,1685.0,1.0,1.0,11.0,65.0,http://nadarei.co/mina/,nadarei.co,False,https://github.com/mina-deploy/mina,,,https://github.com/nadarei/mina,https://github.com/nadarei/mina/issues,https://github.com/nadarei/mina
localhost,1.8.0,3015828,82.9,34.0,41.0,True,readme.md,3141.0,0.0,1.0,0.0,3.0,https://socketry.github.io/localhost/,socketry.github.io,False,https://github.com/socketry/localhost,,,https://github.com/socketry/localhost.git,,https://github.com/socketry/localhost
classifier-reborn,2.3.0,2984409,38.0,49.0,129.0,True,README.markdown,4474.0,0.0,1.0,0.0,0.0,http://www.classifier-reborn.com/,classifier-reborn.com,False,https://jekyll.github.io/classifier-reborn/,,,https://github.com/jekyll/classifier-reborn,https://github.com/jekyll/classifier-reborn/issues,https://github.com/jekyll/classifier-reborn
spree_core,5.6.1,2941883,27.0,1065.0,3943.0,True,README.md,2884.0,0.0,0.0,0.0,2.0,https://docs.spreecommerce.org/,docs.spreecommerce.org,False,https://spreecommerce.org,https://github.com/spree/spree/releases/tag/v5.6.1,,https://github.com/spree/spree/tree/v5.6.1,https://github.com/spree/spree/issues,https://github.com/spree/spree
spree,5.6.1,2882357,0.0,0.0,13.0,True,README.md,2466.0,0.0,0.0,0.0,1.0,https://docs.spreecommerce.org/,docs.spreecommerce.org,False,https://spreecommerce.org,https://github.com/spree/spree/releases/tag/v5.6.1,,https://github.com/spree/spree/tree/v5.6.1,https://github.com/spree/spree/issues,https://github.com/spree/spree
discordrb,3.8.0,2880776,91.1,1171.0,1285.0,True,README.md,8483.0,1.0,1.0,0.0,7.0,https://github.com/shardlab/discordrb/wiki,github.com,False,https://github.com/shardlab/discordrb,https://github.com/shardlab/discordrb/blob/main/CHANGELOG.md,,,https://github.com/shardlab/discordrb/issues,https://github.com/meew0/discordrb
rubydns,2.1.1,2703889,83.3,10.0,12.0,True,readme.md,1851.0,0.0,1.0,0.0,3.0,https://socketry.github.io/rubydns/,socketry.github.io,False,https://github.com/socketry/rubydns,,,https://github.com/socketry/rubydns.git,,https://github.com/ioquatix/rubydns
samovar,2.5.1,2686615,85.9,128.0,149.0,True,readme.md,6111.0,0.0,1.0,0.0,5.0,https://ioquatix.github.io/samovar/,ioquatix.github.io,False,https://github.com/ioquatix/samovar,,,https://github.com/ioquatix/samovar.git,,https://github.com/ioquatix/samovar
aws-actionmailer-ses,1.2.0,2331247,75.0,6.0,8.0,False,,0.0,1.0,1.0,0.0,1.0,https://docs.aws.amazon.com/sdk-for-ruby/aws-actionmailer-ses/api/,docs.aws.amazon.com,False,https://github.com/aws/aws-actionmailer-ses-ruby,https://github.com/aws/aws-actionmailer-ses-ruby/blob/main/CHANGELOG.md,,,,https://github.com/aws/aws-actionmailer-ses-ruby
falcon,0.57.0,2253372,84.8,140.0,165.0,True,readme.md,7294.0,0.0,1.0,0.0,13.0,https://socketry.github.io/falcon/,socketry.github.io,False,https://github.com/socketry/falcon,,,https://github.com/socketry/falcon.git,,https://github.com/socketry/falcon
rice,4.12.0,2226283,1.0,1.0,105.0,True,README.md,2657.0,1.0,1.0,6.0,4.0,https://ruby-rice.github.io,ruby-rice.github.io,False,https://github.com/ruby-rice/rice,https://github.com/ruby-rice/rice/blob/master/CHANGELOG.md,,,https://github.com/ruby-rice/rice/issues,https://github.com/jasonroelofs/rice
curses,1.7.0,2224971,15.6,5.0,32.0,True,README.md,2957.0,1.0,1.0,7.0,90.0,https://ruby.github.io/curses/,ruby.github.io,False,https://github.com/ruby/curses,https://github.com/ruby/curses/releases,,,,https://github.com/ruby/curses
json-ld-preloaded,3.3.2,1943980,100.0,3.0,3.0,True,README.md,6518.0,0.0,0.0,0.0,1.0,https://ruby-rdf.github.io/json-ld-preloaded,ruby-rdf.github.io,False,https://github.com/ruby-rdf/json-ld-preloaded,,,,https://github.com/ruby-rdf/json-ld-preloaded/issues,https://github.com/ruby-rdf/json-ld-preloaded
