gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
vcr,6.4.0,163164309,35.6,144.0,405.0,False,,0.0,0.0,0.0,0.0,0.0,,,False,https://benoittgt.github.io/vcr,https://github.com/vcr/vcr/blob/v6.4.0/CHANGELOG.md,,,,https://github.com/vcr/vcr
autoprefixer-rails,10.4.21.0,163156696,69.2,18.0,26.0,True,README.md,6268.0,1.0,1.0,0.0,2.0,,,False,https://github.com/ai/autoprefixer-rails,https://github.com/ai/autoprefixer-rails/blob/master/CHANGELOG.md,,,https://github.com/ai/autoprefixer-rails/issues,https://github.com/ai/autoprefixer-rails
ttfunk,1.8.0,161297380,58.7,264.0,450.0,True,README.md,1239.0,1.0,1.0,0.0,2.0,https://prwnpdf.org/docs/ttfunk/1.8.0/,prwnpdf.org,False,http://prawnpdf.org/,https://github.com/prawnpdf/ttfunk/blob/1.8.0/CHANGELOG.md,,https://github.com/prawnpdf/ttfunk,https://github.com/prawnpdf/ttfunk/issues,https://github.com/prawnpdf/ttfunk
rchardet,1.10.2,161020150,1.7,2.0,118.0,False,,0.0,0.0,0.0,0.0,1.0,https://www.rubydoc.info/gems/rchardet/1.10.2,rubydoc.info,True,https://github.com/jmhodges/rchardet,,,,https://github.com/jmhodges/rchardet/issues,https://github.com/jmhodges/rchardet
tty-spinner,0.9.3,160584700,100.0,58.0,58.0,True,README.md,14585.0,1.0,1.0,0.0,3.0,https://www.rubydoc.info/gems/tty-spinner,rubydoc.info,True,https://ttytoolkit.org,https://github.com/piotrmurach/tty-spinner/blob/master/CHANGELOG.md,,https://github.com/piotrmurach/tty-spinner,https://github.com/piotrmurach/tty-spinner/issues,https://github.com/piotrmurach/tty-spinner
bindex,0.8.1,159925706,5.6,1.0,18.0,True,README.md,1670.0,0.0,1.0,0.0,3.0,https://www.rubydoc.info/gems/bindex/0.8.1,rubydoc.info,True,https://github.com/gsamokovarov/bindex,,,,,https://github.com/gsamokovarov/bindex
fluent-plugin-s3,1.8.6,159070498,2.0,2.0,98.0,True,README.md,2969.0,1.0,0.0,5.0,6.0,https://www.rubydoc.info/gems/fluent-plugin-s3/1.8.5,rubydoc.info,True,https://github.com/fluent/fluent-plugin-s3,,,,,https://github.com/fluent/fluent-plugin-s3
atomos,1.0.0,157364329,50.0,1.0,2.0,True,README.md,1756.0,0.0,1.0,0.0,3.0,https://www.rubydoc.info/gems/atomos/1.0.0,rubydoc.info,True,https://github.com/segiddins/atomos,,,,,https://github.com/segiddins/atomos
slop,4.10.1,157245117,56.6,47.0,83.0,True,README.md,8348.0,1.0,1.0,0.0,2.0,https://www.rubydoc.info/gems/slop/4.10.1,rubydoc.info,True,http://github.com/leejarvis/slop,,,,,https://github.com/leejarvis/slop
fluent-plugin-kubernetes_metadata_filter,3.8.0,156996995,18.9,7.0,37.0,True,README.md,9831.0,0.0,1.0,18.0,6.0,,,False,https://github.com/fluent-plugins-nursery/fluent-plugin-kubernetes_metadata_filter,,,,https://github.com/fluent-plugins-nursery/fluent-plugin-kubernetes_metadata_filter/issues,https://github.com/fluent-plugins-nursery/fluent-plugin-kubernetes_metadata_filter
