package,version,bytes,size_mb,version_count,stable_versions,all_versions_bytes_est,all_versions_gb_est
stripe-ruby-mock,5.0.0,141824,0.142,76,74,10778624,0.0108
aws-sdk-neptune,1.108.0,141312,0.141,109,109,15403008,0.0154
backports,3.25.3,140800,0.141,142,142,19993600,0.02
maruku,0.7.3,140288,0.14,35,34,4910080,0.0049
json-ld-preloaded,3.3.2,140288,0.14,28,28,3928064,0.0039
semantic_logger,5.1.0,139776,0.14,103,99,14396928,0.0144
text,1.3.1,138752,0.139,15,15,2081280,0.0021
gitlab-fog-azure-rm,2.5.0,138752,0.139,24,24,3330048,0.0033
email_spec,2.3.1,138240,0.138,33,33,4561920,0.0046
tapioca,0.19.2,138240,0.138,132,132,18247680,0.0182
compass-core,1.0.3,137728,0.138,17,3,2341376,0.0023
gitlab-qa,15.8.0,137728,0.138,323,323,44486144,0.0445
unicode,0.4.4,137728,0.138,42,42,5784576,0.0058
fluent-plugin-elasticsearch,6.0.0,137728,0.138,196,183,26994688,0.027
aws-s3,0.6.3,137216,0.137,13,13,1783808,0.0018
shakapacker,10.3.2,137216,0.137,97,53,13309952,0.0133
ffi-yajl,3.0.1,136704,0.137,81,81,11073024,0.0111
sinatra,4.2.1,136192,0.136,108,83,14708736,0.0147
aarch64,3.0.0,135680,0.136,7,7,949760,0.0009
ohai,19.1.40,134656,0.135,200,161,26931200,0.0269
google-apis-container_v1beta1,0.107.0,133632,0.134,107,107,14298624,0.0143
simplecov-html,0.13.2,133632,0.134,31,29,4142592,0.0041
gli,2.22.2,133120,0.133,90,82,11980800,0.012
devise-i18n,1.16.0,133120,0.133,113,113,15042560,0.015
aws-sdk-costexplorer,1.154.0,132608,0.133,155,155,20554240,0.0206
opensearch-ruby,3.4.0,132096,0.132,18,13,2377728,0.0024
danger-changelog,0.8.0,131584,0.132,13,13,1710592,0.0017
aws-sdk-imagebuilder,1.109.0,131072,0.131,109,109,14286848,0.0143
png_quantizator,0.2.1,131072,0.131,4,4,524288,0.0005
yabeda-puma-plugin,0.9.0,130048,0.13,11,11,1430528,0.0014
stringex,2.8.6,130048,0.13,49,49,6372352,0.0064
fog-google,1.29.4,130048,0.13,73,73,9493504,0.0095
scimitar,2.15.0,130048,0.13,49,49,6372352,0.0064
aws-sdk-apigatewayv2,1.96.0,129536,0.13,96,96,12435456,0.0124
aws-sdk-appstream,1.140.0,129536,0.13,153,141,19819008,0.0198
libyajl2,2.1.0,129024,0.129,27,27,3483648,0.0035
hamster,3.0.0,129024,0.129,53,50,6838272,0.0068
google-apis-androidpublisher_v3,0.108.0,129024,0.129,108,108,13934592,0.0139
restforce,8.0.1,129024,0.129,99,98,12773376,0.0128
formtastic,6.0.0,128512,0.129,72,41,9252864,0.0093
jekyll,4.4.1,128512,0.129,152,119,19533824,0.0195
aws-sdk-opsworks,1.79.0,128512,0.129,91,80,11694592,0.0117
kramdown,2.5.2,128512,0.129,66,64,8481792,0.0085
faye,1.4.1,128000,0.128,53,53,6784000,0.0068
google-apis-container_v1,0.120.0,126464,0.126,120,120,15175680,0.0152
activerecord-sqlserver-adapter,8.1.3,125952,0.126,197,178,24812544,0.0248
nexpose,7.3.0,125440,0.125,131,131,16432640,0.0164
gitlab_quality-test_tooling,3.21.4,125440,0.125,150,150,18816000,0.0188
aws-sdk-mgn,1.74.0,124416,0.124,76,76,9455616,0.0095
wikicloth,0.8.3,123904,0.124,16,16,1982464,0.002
google-cloud-artifact_registry-v1,1.14.0,123904,0.124,36,36,4460544,0.0045
rubocop-rails,2.37.0,123904,0.124,96,96,11894784,0.0119
rails-i18n,8.1.0,123392,0.123,78,64,9624576,0.0096
elastic-apm,4.9.0,123392,0.123,84,80,10364928,0.0104
aws-sdk-workspaces,1.164.0,122880,0.123,175,165,21504000,0.0215
aws-sdk-apigateway,1.137.0,122880,0.123,149,136,18309120,0.0183
aws-sdk-comprehend,1.117.0,122368,0.122,119,119,14561792,0.0146
dpl,2.0.5.2,121856,0.122,753,143,91757568,0.0918
aws-sdk-codecommit,1.103.0,121344,0.121,116,104,14075904,0.0141
ruby-graphviz,1.2.5,121344,0.121,43,43,5217792,0.0052
rack,3.2.7,121344,0.121,181,170,21963264,0.022
derailed_benchmarks,2.2.1,121344,0.121,30,30,3640320,0.0036
thread_safe,0.3.6,120832,0.121,24,24,2899968,0.0029
rgeo,3.1.0,120832,0.121,68,64,8216576,0.0082
aws-sdk-cloudtrail,1.125.0,119808,0.12,141,128,16892928,0.0169
aws-sdk-locationservice,1.90.0,118784,0.119,91,91,10809344,0.0108
aws-sdk-iotwireless,1.90.0,118784,0.119,91,91,10809344,0.0108
log4r,1.1.10,118272,0.118,12,12,1419264,0.0014
cool.io,1.9.5,118272,0.118,57,54,6741504,0.0067
thrift,0.24.0,118272,0.118,33,33,3902976,0.0039
aws-sdk-wellarchitected,1.72.0,117248,0.117,73,73,8559104,0.0086
ruby-dbus,0.25.0,116736,0.117,40,30,4669440,0.0047
nio4r,2.7.5,116736,0.117,95,93,11089920,0.0111
zip_kit,6.3.4,115712,0.116,10,10,1157120,0.0012
combine_pdf,1.0.31,115200,0.115,95,94,10944000,0.0109
metasploit-credential,6.0.26,115200,0.115,137,129,15782400,0.0158
ruby-kafka,1.5.0,115200,0.115,112,63,12902400,0.0129
ox,2.14.29,114688,0.115,164,164,18808832,0.0188
doorkeeper,5.9.6,114688,0.115,131,103,15024128,0.015
oga,3.5,114176,0.114,91,91,10390016,0.0104
aws-sdk-servicecatalog,1.132.0,113664,0.114,146,134,16594944,0.0166
fog-xenserver,1.0.0,113664,0.114,13,9,1477632,0.0015
fuzzy_match,2.1.0,113152,0.113,18,18,2036736,0.002
aws-sdk-docdb,1.107.0,113152,0.113,107,107,12107264,0.0121
pitchfork,0.18.2,113152,0.113,24,24,2715648,0.0027
google-cloud-translate-v3,1.10.1,112640,0.113,46,46,5181440,0.0052
scss_lint,0.60.0,112640,0.113,33,33,3717120,0.0037
aws-sdk-route53resolver,1.102.0,112640,0.113,104,104,11714560,0.0117
aws-sdk-datasync,1.127.0,112640,0.113,128,128,14417920,0.0144
aws-sdk-macie2,1.105.0,112128,0.112,106,106,11885568,0.0119
action_text-trix,2.1.19,112128,0.112,6,6,672768,0.0007
google-cloud-storage,1.62.0,111616,0.112,91,91,10157056,0.0102
gitlab-labkit,5.0.1,111616,0.112,142,141,15849472,0.0158
fluent-plugin-kubernetes_metadata_filter,3.8.0,110592,0.111,100,100,11059200,0.0111
aws-sdk-devicefarm,1.110.0,110080,0.11,122,111,13429760,0.0134
aws-sdk-elasticloadbalancingv2,1.157.0,109056,0.109,171,158,18648576,0.0186
devise_token_auth,1.3.0,108544,0.109,119,56,12916736,0.0129
aws-sdk-mediatailor,1.127.0,108544,0.109,129,129,14002176,0.014
flamegraph,0.9.5,108544,0.109,11,11,1193984,0.0012
public_suffix,7.0.5,108544,0.109,57,56,6187008,0.0062
test-kitchen,4.1.4,108032,0.108,136,114,14692352,0.0147
aws-sdk-organizations,1.147.0,108032,0.108,160,148,17285120,0.0173
mission_control-jobs,1.2.0,107520,0.108,17,17,1827840,0.0018
aws-sdk-bedrockruntime,1.83.0,107520,0.108,84,84,9031680,0.009
minitest,6.0.6,107520,0.108,158,156,16988160,0.017
google-apis-sheets_v4,0.48.0,107008,0.107,48,48,5136384,0.0051
hocon,1.4.0,107008,0.107,23,23,2461184,0.0025
bigdecimal,4.1.2,107008,0.107,73,63,7811584,0.0078
aws-sdk-computeoptimizer,1.100.0,106496,0.106,101,101,10756096,0.0108
hiredis-client,0.30.1,106496,0.106,55,55,5857280,0.0059
rexml,3.4.4,105984,0.106,29,29,3073536,0.0031
rpush,9.2.0,105472,0.105,59,53,6222848,0.0062
redis,6.0.0,105472,0.105,99,89,10441728,0.0104
aws-sdk-transcribeservice,1.143.0,104960,0.105,144,144,15114240,0.0151
dependabot-python,0.395.0,104960,0.105,1115,1114,117030400,0.117
irb,1.18.0,104960,0.105,79,64,8291840,0.0083
cocoapods-core,1.17.0,104448,0.104,177,101,18487296,0.0185
json,3.0.0,104448,0.104,247,240,25798656,0.0258
locale,2.1.5,104448,0.104,17,17,1775616,0.0018
aws-sdk-wafregional,1.97.0,104448,0.104,111,98,11593728,0.0116
chewy,8.4.1,104448,0.104,59,58,6162432,0.0062
aws-sdk-forecastservice,1.89.0,103936,0.104,90,90,9354240,0.0094
sentry-ruby,7.0.0,103936,0.104,114,109,11848704,0.0118
sentry-ruby-core,7.0.0,103424,0.103,102,97,10549248,0.0105
sidekiq-unique-jobs,8.1.0,103424,0.103,164,127,16961536,0.017
resque,3.0.2,103424,0.103,81,79,8377344,0.0084
aws-sdk-appsync,1.125.0,102912,0.103,126,126,12966912,0.013
spoom,1.8.7,102400,0.102,74,74,7577600,0.0076
test-unit,3.7.8,101888,0.102,113,113,11513344,0.0115
slim,5.2.2,101888,0.102,73,65,7437824,0.0074
puppet-resource_api,2.0.1,101888,0.102,44,44,4483072,0.0045
smarter_json,1.2.6,101888,0.102,16,16,1630208,0.0016
aws-sdk-kinesis,1.106.0,101888,0.102,120,109,12226560,0.0122
aws-sdk-waf,1.96.0,101888,0.102,111,97,11309568,0.0113
googleapis-common-protos-types,1.23.0,101376,0.101,32,32,3244032,0.0032
aws-sdk-ecr,1.132.0,101376,0.101,145,133,14699520,0.0147
aws-sdk-ses,1.102.0,100864,0.101,114,103,11498496,0.0115
aws-sdk-directoryservice,1.106.0,100864,0.101,119,107,12002816,0.012
aws-sdk-codedeploy,1.103.0,100864,0.101,118,104,11901952,0.0119
aws-sdk-networkmanager,1.82.0,100864,0.101,83,83,8371712,0.0084
debug,1.11.1,100352,0.1,42,30,4214784,0.0042
digest-xxhash,0.2.9,100352,0.1,14,14,1404928,0.0014
sorbet-runtime,0.6.13486,99328,0.099,1919,1918,190610432,0.1906
aws-sdk-athena,1.123.0,99328,0.099,132,125,13111296,0.0131
selenium-devtools,0.152.0,98816,0.099,68,66,6719488,0.0067
barby,0.7.0,98816,0.099,27,27,2668032,0.0027
aws-sdk-codepipeline,1.118.0,98816,0.099,132,120,13043712,0.013
inch,0.8.0,97792,0.098,86,44,8410112,0.0084
aws-sdk-eventbridge,1.102.0,97792,0.098,103,103,10072576,0.0101
ruby-next-core,1.2.1,97792,0.098,43,41,4205056,0.0042
llhttp-ffi,0.5.1,97792,0.098,9,9,880128,0.0009
themoviedb,1.0.2,97792,0.098,26,26,2542592,0.0025
aws-sdk-appflow,1.93.0,97280,0.097,95,95,9241600,0.0092
tracking_number,3.0.0,97280,0.097,49,48,4766720,0.0048
rubocop-rspec,3.10.2,97280,0.097,142,137,13813760,0.0138
rb-readline,0.5.5,96768,0.097,9,9,870912,0.0009
select2-rails,4.0.13,96768,0.097,57,56,5515776,0.0055
specinfra,2.95.1,96768,0.097,500,448,48384000,0.0484
aws-sdk-kafka,1.119.0,96768,0.097,119,119,11515392,0.0115
camertron-eprun,1.1.1,96768,0.097,2,2,193536,0.0002
geokit,1.14.0,96768,0.097,28,27,2709504,0.0027
bunny,3.3.0,96256,0.096,174,136,16748544,0.0167
cocoon,1.2.15,95744,0.096,40,40,3829760,0.0038
fake_ftp,0.3.0,94720,0.095,13,13,1231360,0.0012
aws-sdk-elasticsearchservice,1.124.0,94208,0.094,137,125,12906496,0.0129
lumberjack,2.1.0,94208,0.094,42,42,3956736,0.004
geocoder,1.8.6,94208,0.094,81,81,7630848,0.0076
json-ld,3.3.2,94208,0.094,89,86,8384512,0.0084
bluecloth,2.2.0,94208,0.094,34,22,3203072,0.0032
aws-sdk-drs,1.70.0,94208,0.094,71,71,6688768,0.0067
aws-sdk-proton,1.72.0,94208,0.094,73,73,6877184,0.0069
roo,3.0.0,93696,0.094,93,92,8713728,0.0087
holidays,11.5.0,93696,0.094,73,73,6839808,0.0068
aws-sdk-firehose,1.112.0,93696,0.094,128,114,11993088,0.012
fluent-plugin-opensearch,1.1.6,93696,0.094,18,18,1686528,0.0017
aws-sdk-elasticbeanstalk,1.106.0,93184,0.093,122,107,11368448,0.0114
aws-sdk-fms,1.109.0,93184,0.093,110,110,10250240,0.0103
bourbon,7.3.0,93184,0.093,91,74,8479744,0.0085
aws-sdk-resiliencehub,1.68.0,93184,0.093,69,69,6429696,0.0064
shoulda-matchers,8.0.1,92672,0.093,65,54,6023680,0.006
coderay,1.1.3,92672,0.093,69,40,6394368,0.0064
berkshelf,8.1.23,92160,0.092,161,131,14837760,0.0148
aws-sdk-iotfleetwise,1.66.0,92160,0.092,67,67,6174720,0.0062
aws-sdk-personalize,1.101.0,92160,0.092,102,102,9400320,0.0094
jasmine-core,3.99.0,92160,0.092,58,48,5345280,0.0053
letter_opener_web,3.0.0,92160,0.092,30,25,2764800,0.0028
waterdrop,2.10.4,92160,0.092,126,112,11612160,0.0116
aws-sdk-sqs,1.117.0,91648,0.092,136,122,12464128,0.0125
rr,3.1.2,91648,0.092,91,84,8339968,0.0083
treetop,1.6.18,91648,0.092,47,47,4307456,0.0043
google-cloud-storage_transfer-v1,1.11.0,91136,0.091,30,30,2734080,0.0027
aws-sdk-swf,1.89.0,91136,0.091,102,91,9295872,0.0093
aws-sdk-sns,1.118.0,91136,0.091,133,122,12121088,0.0121
danger,9.6.1,91136,0.091,190,190,17315840,0.0173
elftools,2.2.0,90624,0.091,17,17,1540608,0.0015
mysql2,0.5.7,90112,0.09,155,143,13967360,0.014
aws-sdk-alexaforbusiness,1.71.0,90112,0.09,72,72,6488064,0.0065
rails_icons,1.9.0,89600,0.09,17,17,1523200,0.0015
rspec-expectations,3.13.5,89600,0.09,126,73,11289600,0.0113
octokit,10.0.0,89600,0.09,141,135,12633600,0.0126
markbridge,0.4.1,89088,0.089,10,10,890880,0.0009
aws-sdk-workmail,1.101.0,89088,0.089,102,102,9086976,0.0091
aws-sdk-robomaker,1.92.0,89088,0.089,92,92,8196096,0.0082
state_machines,0.202.0,89088,0.089,28,28,2494464,0.0025
statsd-instrument,4.0.0,89088,0.089,106,96,9443328,0.0094
logging,2.4.0,89088,0.089,60,60,5345280,0.0053
padrino-helpers,0.16.1,88064,0.088,127,110,11184128,0.0112
devise,5.0.4,88064,0.088,173,153,15235072,0.0152
google-apis-monitoring_v3,0.85.0,87552,0.088,85,85,7441920,0.0074
phony,3.0.7,87552,0.088,305,293,26703360,0.0267
aws-sdk-states,1.111.0,87552,0.088,121,111,10593792,0.0106
aws-sdk-kinesisanalyticsv2,1.95.0,87040,0.087,96,96,8355840,0.0084
aws-sdk-redshiftserverless,1.73.0,86528,0.087,73,73,6316544,0.0063
aws-sdk-lexmodelbuildingservice,1.108.0,86528,0.087,119,108,10296832,0.0103
rake,13.4.2,86528,0.087,96,80,8306688,0.0083
aws-sdk-lakeformation,1.93.0,86528,0.087,94,94,8133632,0.0081
overcommit,0.73.0,86528,0.087,110,109,9518080,0.0095
aws-sdk-appconfig,1.85.0,86528,0.087,85,85,7354880,0.0074
aws-sdk-finspace,1.70.0,86528,0.087,70,70,6056960,0.0061
mobility,1.3.2,86016,0.086,90,83,7741440,0.0077
evernote-thrift,1.25.2,86016,0.086,10,10,860160,0.0009
aws-sdk-auditmanager,1.85.0,86016,0.086,86,86,7397376,0.0074
google-apis-sqladmin_v1beta4,0.105.0,86016,0.086,105,105,9031680,0.009
byebug,13.0.0,85504,0.086,83,83,7096832,0.0071
email-provider-info,0.0.1,85504,0.086,1,1,85504,0.0001
dependabot-bundler,0.395.0,85504,0.086,1000,999,85504000,0.0855
bindata,3.0.0,85504,0.086,60,60,5130240,0.0051
ttfunk,1.8.0,84992,0.085,18,18,1529856,0.0015
i18n-tasks,1.1.2,84992,0.085,149,145,12663808,0.0127
cucumber,11.1.1,84992,0.085,201,171,17083392,0.0171
puppet-lint,5.1.1,84992,0.085,68,65,5779456,0.0058
aws-sdk-accessanalyzer,1.94.0,84992,0.085,95,95,8074240,0.0081
aws-sdk-appmesh,1.95.0,84992,0.085,96,96,8159232,0.0082
aws-sdk-clouddirectory,1.93.0,84992,0.085,106,94,9009152,0.009
celluloid,0.18.0,84992,0.085,57,39,4844544,0.0048
aws-sdk-chimesdkvoice,1.60.0,84992,0.085,61,61,5184512,0.0052
jira-ruby,3.2.2,84480,0.084,52,50,4392960,0.0044
sprockets,4.4.1,83968,0.084,120,95,10076160,0.0101
aws-sdk-directconnect,1.115.0,83968,0.084,130,117,10915840,0.0109
kamal,2.12.0,83968,0.084,55,48,4618240,0.0046
xcodeproj,1.28.1,83968,0.084,145,127,12175360,0.0122
aws-partitions,1.1283.0,83968,0.084,1282,1282,107646976,0.1076
haml_lint,0.78.0,83456,0.083,89,89,7427584,0.0074
jekyll-theme-architect,0.2.0,83456,0.083,7,7,584192,0.0006
aws-sdk-acm,1.109.0,82944,0.083,122,110,10119168,0.0101
stoplight,5.8.3,82944,0.083,47,45,3898368,0.0039
rspec-mocks,3.13.8,82944,0.083,135,82,11197440,0.0112
aws-sdk-workspacesweb,1.66.0,82432,0.082,67,67,5522944,0.0055
rails_best_practices,1.23.4,82432,0.082,136,136,11210752,0.0112
rollbar,3.8.0,82432,0.082,188,188,15497216,0.0155
aws-sdk-glacier,1.96.0,81920,0.082,109,98,8929280,0.0089
aws-sdk-elastictranscoder,1.80.0,81920,0.082,93,82,7618560,0.0076
aws-sdk-licensemanager,1.94.0,81920,0.082,95,95,7782400,0.0078
aws-sdk-frauddetector,1.88.0,81920,0.082,89,89,7290880,0.0073
fog-profitbricks,4.1.1,81408,0.081,10,10,814080,0.0008
ferrum,0.18.0,81408,0.081,27,27,2198016,0.0022
handlebars_assets,0.23.10,81408,0.081,61,61,4965888,0.005
licensed,5.1.0,81408,0.081,91,91,7408128,0.0074
w3c_validators,1.3.7,80896,0.081,16,16,1294336,0.0013
aliyun-sdk,0.8.0,80896,0.081,26,26,2103296,0.0021
sentry-rails,7.0.0,80384,0.08,111,107,8922624,0.0089
fog-brightbox,1.12.0,80384,0.08,52,47,4179968,0.0042
aws-sdk-cloudwatchevents,1.108.0,79872,0.08,121,110,9664512,0.0097
aws-sdk-groundstation,1.88.0,79872,0.08,89,89,7108608,0.0071
parslet,2.0.0,79872,0.08,22,22,1757184,0.0018
tzinfo,2.0.6,79360,0.079,95,95,7539200,0.0075
aws-sdk-ssoadmin,1.77.0,79360,0.079,78,78,6190080,0.0062
ruby-saml,1.18.1,79360,0.079,89,89,7063040,0.0071
oauth2,2.0.25,79360,0.079,79,76,6269440,0.0063
moneta,1.6.0,79360,0.079,36,36,2856960,0.0029
jose,1.2.0,78848,0.079,10,10,788480,0.0008
uri-idna,0.3.1,78848,0.079,6,6,473088,0.0005
rails_stdout_logging,0.0.5,78848,0.079,5,5,394240,0.0004
http,6.0.4,78848,0.079,114,94,8988672,0.009
language_server-protocol,3.17.0.1,78336,0.078,24,24,1880064,0.0019
date,3.5.1,78336,0.078,34,34,2663424,0.0027
pagy,43.6.2,78336,0.078,265,261,20759040,0.0208
addressable,2.9.0,78336,0.078,48,48,3760128,0.0038
aws-sdk-outposts,1.109.0,77824,0.078,110,110,8560640,0.0086
representable,3.2.0,77824,0.078,99,91,7704576,0.0077
warbler,2.1.2,77312,0.077,56,47,4329472,0.0043
ransack,4.4.1,77312,0.077,74,74,5721088,0.0057
aws-sdk-lookoutequipment,1.67.0,77312,0.077,68,68,5257216,0.0053
ruby-prof,2.0.5,77312,0.077,121,115,9354752,0.0094
metasploit-model,5.0.5,76800,0.077,71,64,5452800,0.0055
sass-globbing,1.1.5,76800,0.077,9,5,691200,0.0007
aws-sdk-amplifyuibuilder,1.60.0,76800,0.077,60,60,4608000,0.0046
stimulus-rails,1.3.4,76288,0.076,50,50,3814400,0.0038
haml,7.5.1,76288,0.076,216,159,16478208,0.0165
linzer,0.8.1,76288,0.076,40,28,3051520,0.0031
view_component,4.15.0,76288,0.076,179,161,13655552,0.0137
rex-bin_tools,0.1.17,76288,0.076,18,18,1373184,0.0014
faraday,2.14.3,75776,0.076,160,146,12124160,0.0121
aws-sdk-nimblestudio,1.41.0,75264,0.075,42,42,3161088,0.0032
trilogy,2.13.0,75264,0.075,26,26,1956864,0.002
rex-exploitation,0.1.44,75264,0.075,45,45,3386880,0.0034
sixarm_ruby_unaccent,1.2.2,75264,0.075,5,5,376320,0.0004
composite_primary_keys,14.0.10,75264,0.075,186,162,13999104,0.014
rubocop-sorbet,0.16.0,74752,0.075,60,60,4485120,0.0045
rspec-rails,8.0.4,74752,0.075,175,116,13081600,0.0131
capistrano,3.20.1,74752,0.075,118,104,8820736,0.0088
stackprof,0.2.28,74240,0.074,30,30,2227200,0.0022
que,2.4.1,74240,0.074,55,49,4083200,0.0041
ruby-vips,2.3.0,74240,0.074,53,53,3934720,0.0039
yard-junk,0.1.0,74240,0.074,11,11,816640,0.0008
aws-sdk-devopsguru,1.77.0,74240,0.074,78,78,5790720,0.0058
chef-zero,15.1.11,73728,0.074,108,104,7962624,0.008
unaccent,0.4.0,73728,0.074,4,4,294912,0.0003
rdiscount,2.2.7,73728,0.074,35,35,2580480,0.0026
googleauth,1.17.4,73216,0.073,71,71,5198336,0.0052
mocha,3.1.0,73216,0.073,115,107,8419840,0.0084
aws-sdk-acmpca,1.113.0,73216,0.073,114,114,8346624,0.0083
bootstrap-wysihtml5-rails,0.3.3.3,73216,0.073,49,49,3587584,0.0036
jekyll-sitemap,1.4.0,73216,0.073,26,26,1903616,0.0019
google-apis-serviceusage_v1,0.81.0,72704,0.073,81,81,5889024,0.0059
dalli,5.1.0,72704,0.073,95,95,6906880,0.0069
aws-sdk-memorydb,1.65.0,72192,0.072,66,66,4764672,0.0048
webmock,3.26.4,72192,0.072,169,167,12200448,0.0122
epub-parser,0.5.0,72192,0.072,56,56,4042752,0.004
aws-sdk-gluedatabrew,1.72.0,71680,0.072,73,73,5232640,0.0052
gitlab-triage,1.53.1,71680,0.072,91,91,6522880,0.0065
aws-sdk-xray,1.102.0,71680,0.072,113,102,8099840,0.0081
aws-sdk-connectcases,1.71.0,71168,0.071,72,72,5124096,0.0051
digest-crc,0.7.0,71168,0.071,16,15,1138688,0.0011
activemodel,8.1.3,71168,0.071,457,284,32523776,0.0325
aws-sdk-applicationautoscaling,1.125.0,71168,0.071,138,126,9821184,0.0098
webrick,1.9.2,71168,0.071,18,17,1281024,0.0013
asana,2.0.3,70656,0.071,32,32,2260992,0.0023
mixpanel-ruby,3.4.0,70656,0.071,27,27,1907712,0.0019
diff-lcs,2.0.0,70144,0.07,23,21,1613312,0.0016
activestorage,8.1.3,70144,0.07,184,148,12906496,0.0129
aws-sdk-textract,1.95.0,70144,0.07,96,96,6733824,0.0067
aws-sdk-chimesdkmediapipelines,1.57.0,70144,0.07,58,58,4068352,0.0041
aws-sdk-globalaccelerator,1.94.0,70144,0.07,95,95,6663680,0.0067
rkelly-remix,0.0.7,69632,0.07,7,7,487424,0.0005
mlb,0.11.0,69632,0.07,35,35,2437120,0.0024
flexmock,3.0.2,69632,0.07,82,77,5709824,0.0057
paypal-sdk-merchant,1.117.4,69632,0.07,20,20,1392640,0.0014
oauth,1.1.8,69120,0.069,53,51,3663360,0.0037
aws-sdk-greengrass,1.98.0,69120,0.069,105,99,7257600,0.0073
inertia_rails,3.22.0,69120,0.069,57,57,3939840,0.0039
async,2.45.1,68608,0.069,169,169,11594752,0.0116
google-cloud-pubsub,3.4.0,68608,0.069,108,108,7409664,0.0074
elasticsearch-model,8.0.1,68608,0.069,34,28,2332672,0.0023
google-apis-iam_v1,0.91.0,68608,0.069,91,91,6243328,0.0062
github-markup,6.0.0,68608,0.069,66,66,4528128,0.0045
aws-sdk-secretsmanager,1.134.0,68096,0.068,135,135,9192960,0.0092
aws-sdk-route53domains,1.98.0,68096,0.068,110,99,7490560,0.0075
aws-sdk-transcribestreamingservice,1.105.0,68096,0.068,108,108,7354368,0.0074
aws-sdk-iottwinmaker,1.58.0,68096,0.068,59,59,4017664,0.004
net-ldap,0.20.0,68096,0.068,31,31,2110976,0.0021
google-apis-drive_v3,0.87.0,68096,0.068,87,87,5924352,0.0059
aws-sdk-efs,1.113.0,68096,0.068,127,115,8648192,0.0086
aruba,2.4.1,67584,0.068,111,95,7501824,0.0075
aws-sdk-cloudwatchevidently,1.53.0,67584,0.068,54,54,3649536,0.0036
aws-sdk-servicediscovery,1.104.0,67584,0.068,105,105,7096320,0.0071
aws-sdk-prometheusservice,1.77.0,67584,0.068,78,78,5271552,0.0053
aws-sdk-codeartifact,1.78.0,67584,0.068,79,79,5339136,0.0053
fit4ruby,3.13.0,67072,0.067,39,39,2615808,0.0026
money,7.1.1,67072,0.067,105,89,7042560,0.007
aws-sdk-pinpointemail,1.84.0,67072,0.067,85,85,5701120,0.0057
rb-fsevent,0.11.2,66560,0.067,37,32,2462720,0.0025
hamlit,4.0.0,66560,0.067,151,151,10050560,0.0101
csv,3.3.6,66560,0.067,42,42,2795520,0.0028
elasticsearch-dsl,0.1.10,66560,0.067,12,12,798720,0.0008
deckar01-task_list,2.3.4,66560,0.067,16,14,1064960,0.0011
patron,0.13.4,66560,0.067,40,40,2662400,0.0027
gitlab,6.1.0,66048,0.066,42,42,2774016,0.0028
aws-sdk-pipes,1.56.0,66048,0.066,57,57,3764736,0.0038
geoip,1.6.4,66048,0.066,34,34,2245632,0.0022
aws-sdk-ram,1.91.0,65536,0.066,93,93,6094848,0.0061
protocol-http,0.71.0,65536,0.066,131,131,8585216,0.0086
racc,1.8.1,65536,0.066,43,41,2818048,0.0028
marcel,2.1.0,65536,0.066,15,15,983040,0.001
solid_queue,1.7.0,65536,0.066,43,42,2818048,0.0028
coffee-script-source,1.12.2,65024,0.065,32,32,2080768,0.0021
mina,1.2.5,65024,0.065,38,28,2470912,0.0025
io-event,1.21.1,65024,0.065,99,99,6437376,0.0064
aws-sdk-dataexchange,1.87.0,65024,0.065,87,87,5657088,0.0057
fog-ecloud,0.3.0,65024,0.065,8,8,520192,0.0005
prawn-table,0.2.2,64512,0.065,10,10,645120,0.0006
aws-sdk-mturk,1.89.0,64512,0.065,101,89,6515712,0.0065
moodle2cc,0.2.47,64512,0.065,63,63,4064256,0.0041
aws-sdk-snowball,1.105.0,64000,0.064,119,106,7616000,0.0076
aws-sdk-amplify,1.106.0,64000,0.064,107,107,6848000,0.0068
committee,5.6.3,64000,0.064,114,99,7296000,0.0073
raindrops,0.20.1,63488,0.063,29,26,1841152,0.0018
aws-sdk-apprunner,1.75.0,63488,0.063,76,76,4825088,0.0048
aws-sdk-ivs,1.91.0,63488,0.063,92,92,5840896,0.0058
searchkick,6.1.2,63488,0.063,143,143,9078784,0.0091
annotaterb,4.24.0,63488,0.063,32,31,2031616,0.002
rubocop-ast,1.50.0,62976,0.063,92,92,5793792,0.0058
eye,0.10.0,62976,0.063,40,28,2519040,0.0025
aws-sdk-greengrassv2,1.74.0,62976,0.063,75,75,4723200,0.0047
kt-paperclip,8.0.0,62976,0.063,18,18,1133568,0.0011
google-apis-cloudkms_v1,0.79.0,62976,0.063,79,79,4975104,0.005
aws-sdk-machinelearning,1.89.0,62464,0.062,102,91,6371328,0.0064
msgpack,1.8.4,62464,0.062,262,251,16365568,0.0164
guard,2.20.2,62464,0.062,140,128,8744960,0.0087
bugsnag,6.30.0,62464,0.062,172,170,10743808,0.0107
puppet-strings,5.1.0,61952,0.062,28,27,1734656,0.0017
aws-sdk-connectwisdomservice,1.65.0,61952,0.062,66,66,4088832,0.0041
aws-sdk-mainframemodernization,1.54.0,61952,0.062,55,55,3407360,0.0034
active_model_serializers,0.10.16,61952,0.062,47,41,2911744,0.0029
hanami-cli,3.0.0,61952,0.062,55,21,3407360,0.0034
rails-erd,2.2.0,61952,0.062,37,37,2292224,0.0023
liquid,5.13.0,61952,0.062,71,63,4398592,0.0044
dependabot-maven,0.395.0,61440,0.061,1098,1097,67461120,0.0675
