package,version,bytes,size_mb,version_count,stable_versions,all_versions_bytes_est,all_versions_gb_est
win32-api,1.10.1,1238016,1.238,65,63,80471040,0.0805
plaid,51.0.0,1229312,1.229,159,150,195460608,0.1955
ruby-magic,0.6.0,1224704,1.225,12,12,14696448,0.0147
anthropic,1.69.0,1208832,1.209,92,91,111212544,0.1112
fastlane,2.239.0,1192448,1.192,1323,568,1577608704,1.5776
amqp,1.8.0,1175040,1.175,86,60,101053440,0.1011
autoprefixer-rails,10.4.21.0,1174016,1.174,292,292,342812672,0.3428
ruby-enum,1.2.1,1119744,1.12,15,15,16796160,0.0168
openproject-primer_view_components,0.91.1,1089536,1.09,161,161,175415296,0.1754
pygments.rb,5.0.0,1087488,1.087,51,49,55461888,0.0555
jdbc-postgres,42.7.11,1072640,1.073,29,29,31106560,0.0311
roo-xls,2.0.0,1062400,1.062,4,4,4249600,0.0042
sass-embedded,1.104.0,1047040,1.047,2362,2362,2473108480,2.4731
valid_email2,7.1.0,1021952,1.022,107,107,109348864,0.1093
datadog-ruby_core_source,3.5.5,1011712,1.012,12,12,12140544,0.0121
administrate,1.0.0,985600,0.986,44,40,43366400,0.0434
phonelib,0.10.27,980480,0.98,147,147,144130560,0.1441
sprite-factory,1.7.1,969216,0.969,14,14,13569024,0.0136
rubygems-update,4.0.20,966144,0.966,323,306,312064512,0.3121
katex,0.11.0,954368,0.954,18,15,17178624,0.0172
datadog,2.42.0,948224,0.948,49,46,46462976,0.0465
chef,19.3.15,916480,0.916,659,504,603960320,0.604
parser,3.3.12.0,911872,0.912,170,134,155018240,0.155
aws-sdk-sagemaker,1.389.0,909312,0.909,391,391,355540992,0.3555
blazer,3.5.1,907264,0.907,86,86,78024704,0.078
ffi,1.17.4,894464,0.894,438,364,391775232,0.3918
flipper,1.4.2,841216,0.841,109,83,91692544,0.0917
mongoid,9.1.0,840192,0.84,357,317,299948544,0.2999
text-hyphen,1.5.0,836096,0.836,7,7,5852672,0.0059
rubocop,1.90.0,834560,0.835,333,333,277908480,0.2779
