gem,versions_counted,first_version,last_version,functions_first,functions_last,functions_ruby_last,functions_native_last,functions_public_last,functions_private_last,functions_protected_last,functions_added_total,functions_removed_total,max_abs_drift,rb_files_last,native_files_last,native_languages,lines_code_last,gem_bytes_last,parse_errors_last,net_change
jekyll-theme-midnight,1,0.2.0,0.2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2676224.0,0.0,0.0
jekyll-theme-minimal,1,0.2.0,0.2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,333824.0,0.0,0.0
jekyll-theme-modernist,1,0.2.0,0.2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13312.0,0.0,0.0
jekyll-theme-primer,1,0.6.0,0.6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,27136.0,0.0,0.0
jekyll-theme-slate,1,0.2.0,0.2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,29696.0,0.0,0.0
jekyll-theme-tactile,1,0.2.0,0.2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,46080.0,0.0,0.0
jekyll-theme-time-machine,1,0.2.0,0.2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,24576.0,0.0,0.0
jekyll-titles-from-headings,1,0.5.4,0.5.4,23.0,23.0,23.0,0.0,13.0,10.0,0.0,23.0,0.0,0.0,5.0,0.0,,130.0,8192.0,0.0,0.0
jekyll-watch,1,2.2.1,2.2.1,12.0,12.0,12.0,0.0,3.0,9.0,0.0,12.0,0.0,0.0,4.0,0.0,,116.0,6144.0,0.0,0.0
jekyll_test_plugin,1,0.3.1,0.3.1,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,24.0,8192.0,0.0,0.0
jekyll_test_plugin_malicious,1,0.2.0,0.2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,13.0,6144.0,0.0,0.0
jemoji,1,0.13.0,0.13.0,7.0,7.0,7.0,0.0,5.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,,59.0,5632.0,0.0,0.0
jenkins_api_client,1,2.3.0,2.3.0,245.0,245.0,245.0,0.0,232.0,13.0,0.0,245.0,0.0,0.0,22.0,0.0,,2869.0,10341888.0,0.0,0.0
jgeoip,1,0.2.5,0.2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,7.0,12288.0,0.0,0.0
jgrep,1,1.5.4,1.5.4,26.0,26.0,26.0,0.0,23.0,3.0,0.0,26.0,0.0,0.0,3.0,0.0,,487.0,18432.0,0.0,0.0
jira-ruby,1,3.2.2,3.2.2,255.0,255.0,256.0,0.0,230.0,16.0,9.0,255.0,0.0,0.0,46.0,0.0,,1877.0,84480.0,0.0,0.0
jira_ref_parser,1,1.0.1,1.0.1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,23.0,6656.0,0.0,0.0
jls-grok,1,0.11.5,0.11.5,44.0,44.0,57.0,0.0,40.0,4.0,0.0,44.0,0.0,0.0,7.0,0.0,,449.0,13312.0,0.0,0.0
jls-lumberjack,1,0.0.26,0.0.26,70.0,70.0,70.0,0.0,57.0,13.0,0.0,70.0,0.0,0.0,3.0,0.0,,502.0,12800.0,0.0,0.0
jmespath,1,1.6.2,1.6.2,199.0,199.0,200.0,0.0,148.0,47.0,4.0,199.0,0.0,0.0,30.0,0.0,,2039.0,20992.0,0.0,0.0
job-iteration,1,1.15.0,1.15.0,179.0,179.0,179.0,0.0,131.0,47.0,1.0,179.0,0.0,0.0,24.0,0.0,,1363.0,30208.0,0.0,0.0
jose,1,1.2.0,1.2.0,803.0,803.0,803.0,0.0,758.0,45.0,0.0,803.0,0.0,0.0,70.0,0.0,,6682.0,78848.0,0.0,0.0
journey,1,1.0.4,1.0.4,282.0,282.0,285.0,0.0,232.0,50.0,0.0,282.0,0.0,0.0,22.0,0.0,,1544.0,28672.0,0.0,0.0
jquery-datatables-rails,1,3.4.0,3.4.0,6.0,6.0,6.0,0.0,1.0,5.0,0.0,6.0,0.0,0.0,4.0,0.0,,85.0,465408.0,0.0,0.0
jquery-fileupload-rails,1,1.0.0,1.0.0,9.0,9.0,9.0,0.0,8.0,1.0,0.0,9.0,0.0,0.0,5.0,0.0,,75.0,56832.0,0.0,0.0
jquery-rails,1,4.6.1,4.6.1,3.0,3.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,,100.0,523776.0,0.0,0.0
jquery-turbolinks,1,2.1.0,2.1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,9.0,11264.0,0.0,0.0
jquery-ui-rails,1,8.0.0,8.0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,19.0,186880.0,0.0,0.0
jrjackson,1,0.5.2,0.5.2,25.0,25.0,30.0,0.0,21.0,4.0,0.0,25.0,0.0,0.0,5.0,0.0,,141.0,2440192.0,0.0,0.0
jruby-jars,1,10.1.1.0,10.1.1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,14.0,41406464.0,0.0,0.0
jruby-openssl,1,0.19.1,0.19.1,149.0,149.0,150.0,0.0,130.0,18.0,1.0,149.0,0.0,0.0,15.0,0.0,,1193.0,13030912.0,0.0,0.0
jruby-rack,1,2.0.0,2.0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,11.0,179712.0,0.0,0.0
jruby-stdin-channel,1,0.2.0,0.2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,java,18.0,11264.0,0.0,0.0
