package,version,status,asset_kind,tfm,assembly,assembly_bytes,bytes_fetched,nupkg_bytes,public_types,methods_public,properties,events,ctors,operators,api_total,methods_private,methods_protected,methods_internal,m_static,m_virtual,m_abstract,m_sealed,m_generic,t_interface,t_abstract,t_sealed,fields_public,all_types,methoddef_rows,typedef_rows
Microsoft.VSSDK.BuildTools,,error:ValueError,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow,2.1.4,metapackage,,,,,13117,13117,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.android-arm,10.0.11,metapackage,,,,,65558,51486569,,,,,,,,,,,,,,,,,,,,,,
Microsoft.ICU.ICU4C.Runtime.win-arm64,72.1.0.3,too_large,runtimes,,runtimes/win-arm64/native/icudt72.dll,31093184,65558,13972454,,,,,,,,,,,,,,,,,,,,,,
Microsoft.ICU.ICU4C.Runtime.win-x86,72.1.0.3,too_large,runtimes,,runtimes/win-x86/native/icudt72.dll,31092768,65558,13992814,,,,,,,,,,,,,,,,,,,,,,
Microsoft.ICU.ICU4C.Runtime.linux-arm64,72.1.0.3,metapackage,,,,,65558,14963604,,,,,,,,,,,,,,,,,,,,,,
Microsoft.ICU.ICU4C.Runtime,72.1.0.3,metapackage,,,,,33824,33824,,,,,,,,,,,,,,,,,,,,,,
Microsoft.ICU.ICU4C.Runtime.linux-x64,72.1.0.3,metapackage,,,,,65558,14719595,,,,,,,,,,,,,,,,,,,,,,
Agoda.Builds.Metrics,1.0.128,ok,tasks,,tasks/net472/System.Memory.dll,141184,125899,2582132,29,283,71,0,21,17,354,164,12,67,221,37,13,4,0,3,15,23,273,76,703,76
SkiaSharp.NativeAssets.Android,4.151.2,metapackage,,,,,65558,17506160,,,,,,,,,,,,,,,,,,,,,,
Microsoft.Orleans.Server,10.3.1,metapackage,,,,,34119,34119,,,,,,,,,,,,,,,,,,,,,,
Microsoft.Orleans.Client,10.3.1,metapackage,,,,,33973,33973,,,,,,,,,,,,,,,,,,,,,,
