rank,name,downloads,cumulative_downloads,cumulative_share_pct
1,Microsoft.Extensions.DependencyInjection.Abstractions,12493950814,12493950814,1.2188
2,Microsoft.Extensions.Logging.Abstractions,12022217678,24516168492,2.3915
3,Microsoft.Extensions.Primitives,11914509581,36430678073,3.5538
4,Microsoft.Extensions.Options,10789620694,47220298767,4.6063
5,Microsoft.NETCore.Platforms,9994246659,57214545426,5.5812
6,System.Diagnostics.DiagnosticSource,9990574796,67205120222,6.5558
7,Microsoft.Extensions.Configuration.Abstractions,9347055818,76552176040,7.4676
8,Newtonsoft.Json,9039911147,85592087187,8.3495
9,System.Runtime.CompilerServices.Unsafe,8439658732,94031745919,9.1727
10,Microsoft.Extensions.DependencyInjection,7718816604,101750562523,9.9257
11,Microsoft.Extensions.Logging,7559206517,109309769040,10.6631
12,Microsoft.Extensions.Configuration,6842061867,116151830907,11.3305
13,System.Threading.Tasks.Extensions,6731249292,122883080199,11.9872
14,Microsoft.Extensions.Configuration.Binder,6657565856,129540646055,12.6366
15,Microsoft.Extensions.FileProviders.Abstractions,6453878994,135994525049,13.2662
16,System.Memory,6303101504,142297626553,13.881
17,System.Text.Json,6259852603,148557479156,14.4917
18,System.Text.Encodings.Web,6069101170,154626580326,15.0837
19,System.Buffers,5991057763,160617638089,15.6681
20,Microsoft.CSharp,5711679517,166329317606,16.2253
21,Microsoft.Extensions.Hosting.Abstractions,5274088619,171603406225,16.7398
22,System.Security.Cryptography.ProtectedData,5071769367,176675175592,17.2345
23,Microsoft.NETCore.Targets,5050957012,181726132604,17.7273
24,System.Security.Cryptography.Cng,4841890492,186568023096,18.1996
25,System.Security.Principal.Windows,4816120074,191384143170,18.6694
26,System.Runtime,4767287329,196151430499,19.1344
27,Microsoft.Bcl.AsyncInterfaces,4572466627,200723897126,19.5805
28,System.Configuration.ConfigurationManager,4393529930,205117427056,20.0091
29,System.Security.AccessControl,4340157553,209457584609,20.4325
30,Microsoft.IdentityModel.Tokens,4282138082,213739722691,20.8502
31,System.Reflection.TypeExtensions,4203727898,217943450589,21.2602
32,Microsoft.IdentityModel.Logging,4193398299,222136848888,21.6693
33,System.Collections.Immutable,4179828415,226316677303,22.077
34,Azure.Core,4179177472,230495854775,22.4847
35,System.IO,4033918018,234529772793,22.8782
36,System.Text.Encoding,4014387650,238544160443,23.2698
37,System.Reflection.Emit,4013707525,242557867968,23.6614
38,System.Reflection.Emit.Lightweight,3987000705,246544868673,24.0503
39,System.Reflection,3967371942,250512240615,24.4373
40,System.Runtime.Extensions,3965758827,254477999442,24.8242
41,System.Threading.Tasks,3947553189,258425552631,25.2092
42,System.Reflection.Primitives,3918512364,262344064995,25.5915
43,System.Resources.ResourceManager,3903420606,266247485601,25.9723
44,System.Globalization,3901225857,270148711458,26.3528
45,System.IdentityModel.Tokens.Jwt,3898279911,274046991369,26.7331
46,System.Threading,3877522964,277924514333,27.1114
47,System.Collections,3869206276,281793720609,27.4888
48,Microsoft.Extensions.FileSystemGlobbing,3854893816,285648614425,27.8648
49,System.Diagnostics.Debug,3850512843,289499127268,28.2405
50,Microsoft.IdentityModel.JsonWebTokens,3813969141,293313096409,28.6125
51,Microsoft.Extensions.FileProviders.Physical,3769514709,297082611118,28.9802
52,System.Linq,3765062709,300847673827,29.3475
53,Microsoft.Extensions.Caching.Memory,3741880931,304589554758,29.7125
54,Microsoft.Extensions.Caching.Abstractions,3721895851,308311450609,30.0756
