target_pct,packages_needed,share_of_all_packages_pct
10.0,11,0.002
25.0,41,0.0073
50.0,122,0.0218
75.0,345,0.0618
80.0,474,0.0849
85.0,689,0.1234
90.0,1100,0.197
95.0,2481,0.4442
99.0,18005,3.2237
99.9,154985,27.7495
