package,version,status,xml_doc,xml_bytes,readme,n_dll,n_xml,nupkg_bytes,bytes_read
System.Net.Sockets,4.3.0,ok,ref/netstandard1.3/System.Net.Sockets.xml,46874,,3,10,135695,65558
System.Console,4.3.1,ok,ref/netstandard1.3/System.Console.xml,32420,,3,10,102562,65558
System.Windows.Extensions,10.0.11,ok,lib/net10.0/System.Windows.Extensions.xml,22707,,3,3,206165,65558
System.Numerics.Vectors,4.6.1,ok,lib/net462/System.Numerics.Vectors.xml,191892,,2,2,136872,65558
runtime.ubuntu.16.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,ok,,0,,0,0,52190,52190
System.IO.Compression,4.3.0,ok,ref/netcore50/System.IO.Compression.xml,40230,,5,30,485197,65558
System.IO.Compression.ZipFile,4.3.0,ok,ref/netstandard1.3/System.IO.Compression.ZipFile.xml,37449,,4,10,113746,65558
System.Runtime.Serialization.Primitives,4.3.0,ok,ref/netcore50/System.Runtime.Serialization.Primitives.xml,17793,,7,30,222471,65558
Microsoft.AspNetCore.Http,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Http.xml,32941,,1,1,71270,65558
System.ComponentModel,4.3.0,ok,ref/netcore50/System.ComponentModel.xml,3895,,4,20,95320,65558
Microsoft.TestPlatform.ObjectModel,18.9.0,ok,lib/net462/Microsoft.VisualStudio.TestPlatform.ObjectModel.xml,420645,README.md,87,3,1812592,65558
runtime.osx.10.10-x64.runtime.native.System.Security.Cryptography.Apple,4.3.1,ok,,0,,0,0,19584,19584
runtime.native.System.Security.Cryptography.Apple,4.3.1,ok,,0,,0,0,16967,16967
Microsoft.AspNetCore.WebUtilities,10.0.11,ok,lib/net10.0/Microsoft.AspNetCore.WebUtilities.xml,91251,,1,1,94618,65558
Microsoft.NET.Test.Sdk,18.9.0,ok,,0,README.md,0,0,40379,40379
Microsoft.Extensions.Diagnostics.Abstractions,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Diagnostics.Abstractions.xml,27629,,5,5,150334,65558
Microsoft.AspNetCore.Hosting.Abstractions,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Hosting.Abstractions.xml,24179,,1,1,44314,44314
System.Xml.XmlDocument,4.3.0,ok,ref/netstandard1.3/System.Xml.XmlDocument.xml,121885,,4,10,285212,65558
