package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct
runtime.osx-x64.runtime.native.System.IO.Ports,10.0.11,102440553.0,hand-written site; homepage,2,https://dot.net/,,,,,,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/runtime.osx-x64.runtime.native.System.IO.Ports,
runtime.linux-arm.runtime.native.System.IO.Ports,10.0.11,102412852.0,hand-written site; homepage,2,https://dot.net/,,,,,,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/runtime.linux-arm.runtime.native.System.IO.Ports,
runtime.native.System.IO.Ports,10.0.11,102406581.0,hand-written site; homepage,2,https://dot.net/,,,,,,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/runtime.native.System.IO.Ports,
runtime.linux-x64.runtime.native.System.IO.Ports,10.0.11,102390638.0,hand-written site; homepage,2,https://dot.net/,,,,,,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/runtime.linux-x64.runtime.native.System.IO.Ports,
runtime.linux-arm64.runtime.native.System.IO.Ports,10.0.11,102373409.0,hand-written site; homepage,2,https://dot.net/,,,,,,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/runtime.linux-arm64.runtime.native.System.IO.Ports,
Mono.Cecil,0.11.6,101847185.0,homepage,1,,,,,,,https://github.com/jbevain/cecil,,,,https://github.com/jbevain/cecil/,,https://www.nuget.org/packages/Mono.Cecil,
libphonenumber-csharp,9.0.38,101727158.0,readme; xml docs; homepage,1,,,README.md,,,lib/net10.0/PhoneNumbers.xml,https://github.com/twcclegg/libphonenumber-csharp,,,,https://github.com/twcclegg/libphonenumber-csharp,,https://www.nuget.org/packages/libphonenumber-csharp,
Azure.Messaging.EventHubs,5.12.2,101574978.0,readme; xml docs; homepage,1,,,README.md,,,lib/net8.0/Azure.Messaging.EventHubs.xml,https://github.com/azure/azure-sdk-for-net,,,,https://github.com/Azure/azure-sdk-for-net/blob/Azure.Messaging.EventHubs_5.12.2/sdk/eventhub/Azure.Messaging.EventHubs/README.md,,https://www.nuget.org/packages/Azure.Messaging.EventHubs,
Validation,2.6.68,101051647.0,hand-written site; readme; xml docs; homepage,2,https://aarnott.github.io/Validation/,,README.md,,,lib/net35/Validation.xml,https://github.com/aarnott/validation,,,,https://aarnott.github.io/Validation/,,https://www.nuget.org/packages/Validation,
NSwag.MSBuild,14.7.1,100365056.0,homepage,1,,,,,,,https://github.com/ricosuter/nswag,,,,https://github.com/RicoSuter/NSwag,,https://www.nuget.org/packages/NSwag.MSBuild,
runtime.win.System.Net.Sockets,4.3.0,99981172.0,hand-written site; homepage,2,https://dot.net/,,,,,,,,,,https://dot.net/,,https://www.nuget.org/packages/runtime.win.System.Net.Sockets,
Hangfire.NetCore,1.8.25,99713060.0,hand-written site; xml docs; homepage,2,https://www.hangfire.io/,,,,,lib/net451/Hangfire.NetCore.xml,https://github.com/hangfireio/hangfire,,,,https://www.hangfire.io/,,https://www.nuget.org/packages/Hangfire.NetCore,
Microsoft.Azure.Functions.Extensions,1.1.0,99544456.0,hand-written site; homepage,2,https://go.microsoft.com/fwlink/?LinkID=320972,,,,,,https://github.com/azure/azure-functions-dotnet-extensions,,,,https://go.microsoft.com/fwlink/?LinkID=320972,,https://www.nuget.org/packages/Microsoft.Azure.Functions.Extensions,
Microsoft.AspNetCore.SpaServices,3.1.32,99253596.0,hand-written site; homepage,2,https://asp.net/,,,,,,https://github.com/dotnet/aspnetcore,,,,https://asp.net/,,https://www.nuget.org/packages/Microsoft.AspNetCore.SpaServices,
gherkin,42.0.1,99188325.0,xml docs; homepage,1,,,,,,lib/netstandard2.0/Gherkin.xml,https://github.com/cucumber/gherkin,,,,https://github.com/cucumber/gherkin,,https://www.nuget.org/packages/gherkin,
Microsoft.AspNetCore.NodeServices,3.1.32,99159541.0,hand-written site; homepage,2,https://asp.net/,,,,,,https://github.com/dotnet/aspnetcore,,,,https://asp.net/,,https://www.nuget.org/packages/Microsoft.AspNetCore.NodeServices,
K4os.Hash.xxHash,1.0.8,98436734.0,xml docs; homepage,1,,,,,,lib/net462/K4os.Hash.xxHash.xml,https://github.com/miloszkrajewski/k4os.hash.xxhash,,,,https://github.com/MiloszKrajewski/K4os.Hash.xxHash,,https://www.nuget.org/packages/K4os.Hash.xxHash,
Microsoft.Win32.Registry.AccessControl,10.0.11,98135878.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Win32.Registry.AccessControl.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Win32.Registry.AccessControl,
Stripe.net,52.4.1,97989079.0,readme; xml docs; homepage,1,,,README.md,,,lib/net462/Stripe.net.xml,https://github.com/stripe/stripe-dotnet,,,,https://github.com/stripe/stripe-dotnet,,https://www.nuget.org/packages/Stripe.net,
Microsoft.WindowsDesktop.App.Runtime.win-x64,10.0.11,97769303.0,hand-written site; homepage,2,https://dot.net/,,,,,,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.WindowsDesktop.App.Runtime.win-x64,
BouncyCastle.NetCore,2.2.1,97714929.0,xml docs; homepage,1,,,,,,lib/net45/BouncyCastle.Crypto.xml,https://github.com/chrishaly/bc-csharp,,,,https://github.com/chrishaly/bc-csharp,,https://www.nuget.org/packages/BouncyCastle.NetCore,
Sfa.Core.ServiceModel,4.0.2,97705984.0,,0,,,,,,,https://github.com/skillsfundingagency/core,,,,,,https://www.nuget.org/packages/Sfa.Core.ServiceModel,
Microsoft.Azure.Functions.Worker.Extensions.Http,3.3.0,97169978.0,xml docs; homepage,1,,,,,,lib/netstandard2.0/Microsoft.Azure.Functions.Worker.Extensions.Http.xml,https://github.com/azure/azure-functions-dotnet-worker,,,,https://github.com/Azure/azure-functions-dotnet-worker,,https://www.nuget.org/packages/Microsoft.Azure.Functions.Worker.Extensions.Http,
System.CommandLine,2.0.11,96858427.0,readme; xml docs; homepage,1,,,README.md,,,lib/net8.0/System.CommandLine.xml,https://github.com/dotnet/dotnet,,,,https://github.com/dotnet/command-line-api,,https://www.nuget.org/packages/System.CommandLine,
