package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct
Inkore.UI.WPF.Modern,0.10.2.1,68600.0,readme; xml docs,0,,,README.md,,,lib/net452/iNKORE.UI.WPF.Modern.xml,https://github.com/inkore-net/ui.wpf.modern,,,,,,https://www.nuget.org/packages/Inkore.UI.WPF.Modern,
StaticCS,0.3.1,68405.0,,0,,,,,,,https://github.com/agocke/static-cs,,,,,,https://www.nuget.org/packages/StaticCS,
fo-dicom.Imaging.Desktop,5.2.6,68100.0,readme; xml docs,0,,,READMENuget.md,,,lib/net462/FO-DICOM.Imaging.Desktop.xml,https://github.com/fo-dicom/fo-dicom,,,,,,https://www.nuget.org/packages/fo-dicom.Imaging.Desktop,
CommunityToolkit.Uwp.Controls.SettingsControls,8.2.251219,67299.0,readme; xml docs,0,,,ReadMe.md,,,lib/net8.0-windows10.0.26100/CommunityToolkit.WinUI.Controls.SettingsControls.xml,https://github.com/communitytoolkit/windows,,,,,,https://www.nuget.org/packages/CommunityToolkit.Uwp.Controls.SettingsControls,
Cogwheel,2.1.1,65285.0,xml docs,0,,,,,,lib/net10.0/Cogwheel.xml,https://github.com/tyrrrz/cogwheel,,,,,,https://www.nuget.org/packages/Cogwheel,
BTCPayServer.NTag424,1.0.25,65166.0,readme; xml docs,0,,,README.md,,,lib/net8.0/BTCPayServer.NTag424.xml,https://github.com/btcpayserver/btcpayserver.boltcardtools,,,,,,https://www.nuget.org/packages/BTCPayServer.NTag424,
JsonSignature,1.0.0,63564.0,readme,0,,,README.md,,,,https://github.com/duplicati/jsonsignature,,,,,,https://www.nuget.org/packages/JsonSignature,
BsDiff,1.1.0,63280.0,readme,0,,,README.md,,,,https://github.com/logosbible/bsdiff.net,,,,,,https://www.nuget.org/packages/BsDiff,
AGUI.Abstractions,0.0.6,62184.0,readme; xml docs,0,,,README.md,,,lib/net10.0/AGUI.Abstractions.xml,https://github.com/ag-ui-protocol/ag-ui,,,,,,https://www.nuget.org/packages/AGUI.Abstractions,
Microsoft.VisualStudio.Extensibility,17.14.2098,62138.0,xml docs,0,,,,,,lib/net472/Microsoft.VisualStudio.Extensibility.xml,,,,,,,https://www.nuget.org/packages/Microsoft.VisualStudio.Extensibility,
Google.Apis.Keep.v1,1.74.0.3729,61905.0,xml docs,0,,,,,,lib/net462/Google.Apis.Keep.v1.xml,https://github.com/google/google-api-dotnet-client,,,,,,https://www.nuget.org/packages/Google.Apis.Keep.v1,
Microsoft.Native.Quic.MsQuic.Schannel,2.6.1,61124.0,readme,0,,,README.md,,,,https://github.com/microsoft/msquic,,,,,,https://www.nuget.org/packages/Microsoft.Native.Quic.MsQuic.Schannel,
MP.DotSpatial.Projections,4.0.0,59416.0,xml docs,0,,,,,,lib/netstandard2.0/DotSpatial.Projections.xml,https://github.com/dotspatial/dotspatial,,,,,,https://www.nuget.org/packages/MP.DotSpatial.Projections,
Bannerlord.UIExtenderEx,2.13.3,59395.0,,0,,,,,,,https://github.com/butr/bannerlord.uiextenderex,,,,,,https://www.nuget.org/packages/Bannerlord.UIExtenderEx,
Serilog.Sinks.SignalR.Core,0.1.2,58711.0,,0,,,,,,,https://github.com/drugolebowski/serilog-sinks-signalr-core,,,,,,https://www.nuget.org/packages/Serilog.Sinks.SignalR.Core,
MongoSandbox8.runtime.win-x64,2.0.0,58583.0,readme,0,,,README.md,,,,https://github.com/wassim-k/mongosandbox,,,,,,https://www.nuget.org/packages/MongoSandbox8.runtime.win-x64,
StrongOf,3.0.31,57920.0,readme; xml docs,0,,,readme.md,,,lib/net10.0/StrongOf.xml,https://github.com/benjaminabt/strongof,,,,,,https://www.nuget.org/packages/StrongOf,
Chocolatey.NuGet.PackageManagement,3.5.0,57701.0,readme; xml docs,0,,,README.md,,,lib/net472/Chocolatey.NuGet.PackageManagement.xml,https://github.com/chocolatey/nuget.client,,,,,,https://www.nuget.org/packages/Chocolatey.NuGet.PackageManagement,
HMBSbige.SingleInstance,7.0.0,57582.0,readme; xml docs,0,,,README.md,,,lib/net10.0/SingleInstance.xml,https://github.com/hmbsbige/singleinstance,,,,,,https://www.nuget.org/packages/HMBSbige.SingleInstance,
Microsoft.VisualStudio.Extensibility.JsonGenerators.Sdk,17.14.2098,57404.0,,0,,,,,,,,,,,,,https://www.nuget.org/packages/Microsoft.VisualStudio.Extensibility.JsonGenerators.Sdk,
Microsoft.VisualStudio.ProjectSystem.Managed.VS,2.0.6142705,57126.0,,0,,,,,,,https://github.com/dotnet/roslyn-project-system,,,,,,https://www.nuget.org/packages/Microsoft.VisualStudio.ProjectSystem.Managed.VS,
SharpShellTools,2.2.1,56929.0,xml docs,0,,,,,,lib/SharpShell.xml,https://github.com/dwmkerr/sharpshell,,,,,,https://www.nuget.org/packages/SharpShellTools,
Microsoft.WindowsAzure.Management.Store,0.15.1-preview,56929.0,xml docs,0,,,,,,lib/portable-net45%2Bwp8%2Bwpa81%2Bwin/Microsoft.WindowsAzure.Management.Store.xml,https://github.com/windowsazure/azure-sdk-for-net,,,,,,https://www.nuget.org/packages/Microsoft.WindowsAzure.Management.Store,
Microsoft.WindowsPackageManager.InProcCom,1.29.290,56057.0,,0,,,,,,,https://github.com/microsoft/winget-cli,,,,,,https://www.nuget.org/packages/Microsoft.WindowsPackageManager.InProcCom,
NimblePros.Metronome,0.4.1,55692.0,readme,0,,,README.md,,,,https://github.com/nimblepros/metronome,,,,,,https://www.nuget.org/packages/NimblePros.Metronome,
Openur.FFprobeStatic,9.0.1.492,55678.0,readme,0,,,README.md,,,,https://github.com/openur/ffprobe-static-build,,,,,,https://www.nuget.org/packages/Openur.FFprobeStatic,
C1.Win.SuperTooltip,10.0.20261.813,55625.0,readme; xml docs,0,,,docs/readme.md,,,lib/net462/C1.Win.SuperTooltip.4.6.2.xml,,,,,,,https://www.nuget.org/packages/C1.Win.SuperTooltip,
Microsoft.Windows.MixedReality.DotNetWinRT,0.5.1049,54966.0,xml docs,0,,,,,,lib/uap10.0.18362/Microsoft.Windows.MixedReality.DotNetWinRT.xml,,,,,,,https://www.nuget.org/packages/Microsoft.Windows.MixedReality.DotNetWinRT,
AnsiConsoleToHtml,0.2.0,54328.0,readme; xml docs,0,,,README.md,,,lib/net7.0/AnsiConsoleToHtml.xml,https://github.com/gcollic/ansi-console-to-html,,,,,,https://www.nuget.org/packages/AnsiConsoleToHtml,
PlayniteSDK,6.16.0,54193.0,readme; xml docs,0,,,docs/readme.md,,,lib/net462/Playnite.SDK.xml,https://github.com/josefnemec/playnite,,,,,,https://www.nuget.org/packages/PlayniteSDK,
WinApi,4.0.0,53071.0,,0,,,,,,,https://github.com/prasannavl/winapi,,,,,,https://www.nuget.org/packages/WinApi,
Mpv.NET,1.2.0,52349.0,,0,,,,,,,https://github.com/hudec117/mpv.net-lib-,,,,,,https://www.nuget.org/packages/Mpv.NET,
Openur.FFMpegCore,5.4.0.37,52027.0,readme,0,,,README.md,,,,https://github.com/openur/ffmpegcore,,,,,,https://www.nuget.org/packages/Openur.FFMpegCore,
NetOffice.PowerPoint,1.7.4.11,51965.0,xml docs,0,,,,,,lib/net20/PowerPointApi.xml,https://github.com/netoffice/netoffice-nuget,,,,,,https://www.nuget.org/packages/NetOffice.PowerPoint,
MdXaml.Html,1.27.0,50279.0,,0,,,,,,,https://github.com/whistyun/mdxaml,,,,,,https://www.nuget.org/packages/MdXaml.Html,
NetCoreEx.Geometry,3.0.0,50148.0,,0,,,,,,,https://github.com/prasannavl/netcoreex,,,,,,https://www.nuget.org/packages/NetCoreEx.Geometry,
