metric,value,note
CSHARP,,
  packages,3352.0,
  hand-written site,1229.0,36.7%
  readme,1182.0,35.3%
  xml docs,2182.0,65.1%
  homepage,2606.0,77.7%
  no link of any kind,746.0,
