package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct
System.Collections.Immutable,10.0.11,4179828415,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/System.Collections.Immutable.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/System.Collections.Immutable,
System.IO,4.3.0,4033918018,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.IO.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.IO,
System.Text.Encoding,4.3.0,4014387650,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Text.Encoding.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Text.Encoding,
System.Reflection,4.3.0,3967371942,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Reflection.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Reflection,
System.Runtime.Extensions,4.3.1,3965758827,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Runtime.Extensions.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Runtime.Extensions,
System.Threading.Tasks,4.3.0,3947553189,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Threading.Tasks.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Threading.Tasks,
System.Reflection.Primitives,4.3.0,3918512364,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Reflection.Primitives.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Reflection.Primitives,
System.Resources.ResourceManager,4.3.0,3903420606,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Resources.ResourceManager.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Resources.ResourceManager,
System.Globalization,4.3.0,3901225857,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Globalization.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Globalization,
System.Threading,4.3.0,3877522964,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Threading.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Threading,
System.Collections,4.3.0,3869206276,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Collections.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Collections,
Microsoft.Extensions.FileSystemGlobbing,10.0.11,3854893816,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.FileSystemGlobbing.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.FileSystemGlobbing,
System.Diagnostics.Debug,4.3.0,3850512843,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Diagnostics.Debug.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Diagnostics.Debug,
Microsoft.Extensions.FileProviders.Physical,10.0.11,3769514709,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.FileProviders.Physical.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.FileProviders.Physical,
System.Linq,4.3.0,3765062709,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Linq.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Linq,
Microsoft.Extensions.Caching.Memory,10.0.11,3741880931,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Caching.Memory.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Caching.Memory,
Microsoft.Extensions.Caching.Abstractions,10.0.11,3721895851,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Caching.Abstractions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Caching.Abstractions,
System.Runtime.InteropServices,4.3.0,3670955694,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Runtime.InteropServices.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Runtime.InteropServices,
NETStandard.Library,2.0.3,3649844578,hand-written site; homepage,2,https://dot.net/,,,,,,,,,,https://dot.net/,,https://www.nuget.org/packages/NETStandard.Library,
System.Linq.Expressions,4.3.0,3648869132,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Linq.Expressions.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Linq.Expressions,
System.Text.Encoding.CodePages,10.0.11,3607685878,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/System.Text.Encoding.CodePages.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/System.Text.Encoding.CodePages,
System.Text.RegularExpressions,4.3.1,3588203288,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Text.RegularExpressions.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Text.RegularExpressions,
System.Runtime.Handles,4.3.0,3582876813,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netstandard1.3/System.Runtime.Handles.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Runtime.Handles,
Microsoft.Extensions.Options.ConfigurationExtensions,10.0.11,3571406518,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Options.ConfigurationExtensions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Options.ConfigurationExtensions,
System.Reflection.Extensions,4.3.0,3569612252,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Reflection.Extensions.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Reflection.Extensions,
System.Net.Http,4.3.4,3564779224,hand-written site; homepage,2,https://dot.net/,,,,,,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Net.Http,
Microsoft.Extensions.Configuration.FileExtensions,10.0.11,3527045221,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Configuration.FileExtensions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Configuration.FileExtensions,
System.IO.FileSystem,4.3.0,3491526730,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netstandard1.3/System.IO.FileSystem.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.IO.FileSystem,
Microsoft.Extensions.DependencyModel,10.0.11,3484947486,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.DependencyModel.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.DependencyModel,
System.IO.FileSystem.Primitives,4.3.0,3482418253,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netstandard1.3/System.IO.FileSystem.Primitives.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.IO.FileSystem.Primitives,
System.Reflection.Metadata,10.0.11,3482157430,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/System.Reflection.Metadata.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/System.Reflection.Metadata,
System.ObjectModel,4.3.0,3479871945,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.ObjectModel.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.ObjectModel,
System.Text.Encoding.Extensions,4.3.0,3289263151,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,ref/netcore50/System.Text.Encoding.Extensions.xml,,,,,https://dot.net/,,https://www.nuget.org/packages/System.Text.Encoding.Extensions,
